[Ess] [TERRAIN] 1  x=2545.82  y=-29.28  z=-911.76
[Ess] [TERRAIN] 78  x=3596.13  y=192.26  z=-3140.69
[Ess] [TERRAIN] 79  x=3609.77  y=212.53  z=-3169.63
[Ess] [TERRAIN] 80  x=3623.41  y=235.48  z=-3198.58
[Ess] [TERRAIN] 81  x=3637.05  y=239.17  z=-3227.53
[Ess] [TERRAIN] 82  x=3650.69  y=227.23  z=-3256.48
[Ess] [TERRAIN] 83  x=3664.33  y=235.84  z=-3285.42
[Ess] [TERRAIN] 84  x=3677.97  y=248.64  z=-3314.37
[Ess] [TERRAIN] 85  x=3691.61  y=255.82  z=-3343.32
[Ess] [TERRAIN] 86  x=3705.25  y=257.52  z=-3372.26
[Ess] [TERRAIN] 87  x=3718.90  y=257.99  z=-3401.21
[Ess] [TERRAIN] 88  x=3732.54  y=263.86  z=-3430.16
[Ess] [TERRAIN] 89  x=3746.18  y=276.01  z=-3459.10
[Ess] [TERRAIN] 90  x=3759.82  y=287.10  z=-3488.05
[Ess] [TERRAIN] 91  x=3773.46  y=295.48  z=-3517.00
[Ess] [TERRAIN] 92  x=3787.10  y=313.86  z=-3545.95
[Ess] [TERRAIN] 93  x=3800.74  y=313.77  z=-3574.89
[Ess] [TERRAIN] 94  x=3814.38  y=319.18  z=-3603.84
[Ess] [TERRAIN] 95  x=3828.02  y=342.89  z=-3632.79
[Ess] [TERRAIN] 96  x=3841.66  y=349.69  z=-3661.73
[Ess] [TERRAIN] 97  x=3855.30  y=365.27  z=-3690.68
[Ess] [TERRAIN] 98  x=3868.94  y=361.15  z=-3719.63
[Ess] [TERRAIN] 99  x=3882.58  y=356.92  z=-3748.57
[Ess] [TERRAIN] 100  x=3896.22  y=353.21  z=-3777.52
[Ess] [TERRAIN] 101  x=3909.86  y=342.23  z=-3806.47
[Ess] [TERRAIN] 102  x=3923.50  y=309.03  z=-3835.42
[Ess] [TERRAIN] 103  x=3937.14  y=292.90  z=-3864.36
[Ess] [TERRAIN] 104  x=3950.78  y=277.53  z=-3893.31
[Ess] [TERRAIN] 105  x=3964.42  y=258.30  z=-3922.26
[Ess] [TERRAIN] 106  x=3978.06  y=244.07  z=-3951.20
[Ess] [TERRAIN] 107  x=3991.70  y=211.30  z=-3980.15
[Ess] [TERRAIN] 108  x=4002.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 109  x=3970.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 110  x=3938.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 111  x=3906.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 112  x=3874.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 113  x=3842.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 114  x=3810.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 115  x=3778.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 116  x=3746.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 117  x=3714.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 118  x=3682.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 119  x=3650.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 120  x=3618.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 121  x=3586.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 122  x=3554.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 123  x=3522.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 124  x=3490.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 125  x=3458.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 126  x=3426.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 127  x=3394.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 128  x=3362.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 129  x=3330.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 130  x=3298.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 131  x=3266.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 132  x=3234.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 133  x=3202.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 134  x=3170.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 135  x=3138.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 136  x=3106.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 137  x=3074.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 138  x=3042.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 139  x=3010.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 140  x=2978.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 141  x=2946.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 142  x=2914.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 143  x=2882.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 144  x=2850.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 145  x=2818.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 146  x=2786.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 147  x=2754.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 148  x=2722.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 149  x=2690.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 150  x=2658.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 151  x=2626.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 152  x=2594.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 153  x=2562.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 154  x=2530.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 155  x=2498.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 156  x=2466.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 157  x=2434.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 158  x=2402.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 159  x=2370.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 160  x=2338.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 161  x=2306.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 162  x=2274.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 163  x=2242.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 164  x=2210.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 165  x=2178.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 166  x=2146.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 167  x=2114.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 168  x=2082.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 169  x=2050.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 170  x=2018.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 171  x=1986.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 172  x=1954.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 173  x=1922.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 174  x=1890.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 175  x=1858.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 176  x=1826.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 177  x=1794.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 178  x=1762.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 179  x=1730.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 180  x=1698.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 181  x=1666.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 182  x=1634.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 183  x=1602.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 184  x=1570.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 185  x=1538.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 186  x=1506.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 187  x=1474.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 188  x=1442.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 189  x=1410.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 190  x=1378.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 191  x=1346.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 192  x=1314.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 193  x=1282.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 194  x=1250.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 195  x=1218.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 196  x=1186.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 197  x=1154.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 198  x=1122.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 199  x=1090.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 200  x=1058.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 201  x=1026.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 202  x=994.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 203  x=962.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 204  x=930.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 205  x=898.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 206  x=866.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 207  x=834.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 208  x=802.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 209  x=770.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 210  x=738.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 211  x=706.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 212  x=674.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 213  x=642.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 214  x=610.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 215  x=578.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 216  x=546.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 217  x=514.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 218  x=482.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 219  x=450.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 220  x=418.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 221  x=386.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 222  x=354.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 223  x=322.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 224  x=290.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 225  x=258.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 226  x=226.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 227  x=194.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 228  x=162.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 229  x=130.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 230  x=98.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 231  x=66.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 232  x=34.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 233  x=2.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 234  x=-30.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 235  x=-62.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 236  x=-94.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 237  x=-126.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 238  x=-158.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 239  x=-190.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 240  x=-222.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 241  x=-254.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 242  x=-286.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 243  x=-318.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 244  x=-350.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 245  x=-382.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 246  x=-414.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 247  x=-446.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 248  x=-478.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 249  x=-510.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 250  x=-542.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 251  x=-574.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 252  x=-606.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 253  x=-638.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 254  x=-670.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 255  x=-702.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 256  x=-734.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 257  x=-766.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 258  x=-798.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 259  x=-830.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 260  x=-862.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 261  x=-894.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 262  x=-926.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 263  x=-958.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 264  x=-990.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 265  x=-1022.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 266  x=-1054.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 267  x=-1086.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 268  x=-1118.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 269  x=-1150.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 270  x=-1182.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 271  x=-1214.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 272  x=-1246.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 273  x=-1278.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 274  x=-1310.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 275  x=-1342.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 276  x=-1374.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 277  x=-1406.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 278  x=-1438.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 279  x=-1470.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 280  x=-1502.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 281  x=-1534.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 282  x=-1566.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 283  x=-1598.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 284  x=-1630.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 285  x=-1662.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 286  x=-1694.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 287  x=-1726.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 288  x=-1758.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 289  x=-1790.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 290  x=-1822.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 291  x=-1854.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 292  x=-1886.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 293  x=-1918.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 294  x=-1950.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 295  x=-1982.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 296  x=-2014.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 297  x=-2046.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 298  x=-2078.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 299  x=-2110.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 300  x=-2142.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 301  x=-2174.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 302  x=-2206.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 303  x=-2238.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 304  x=-2270.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 305  x=-2302.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 306  x=-2334.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 307  x=-2366.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 308  x=-2398.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 309  x=-2430.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 310  x=-2462.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 311  x=-2494.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 312  x=-2526.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 313  x=-2558.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 314  x=-2590.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 315  x=-2622.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 316  x=-2654.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 317  x=-2686.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 318  x=-2718.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 319  x=-2750.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 320  x=-2782.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 321  x=-2814.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 322  x=-2846.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 323  x=-2878.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 324  x=-2910.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 325  x=-2942.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 326  x=-2974.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 327  x=-3006.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 328  x=-3038.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 329  x=-3070.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 330  x=-3102.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 331  x=-3134.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 332  x=-3166.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 333  x=-3198.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 334  x=-3230.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 335  x=-3262.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 336  x=-3294.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 337  x=-3326.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 338  x=-3358.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 339  x=-3390.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 340  x=-3422.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 341  x=-3454.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 342  x=-3486.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 343  x=-3518.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 344  x=-3550.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 345  x=-3582.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 346  x=-3614.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 347  x=-3646.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 348  x=-3678.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 349  x=-3710.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 350  x=-3742.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 351  x=-3774.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 352  x=-3806.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 353  x=-3838.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 354  x=-3870.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 355  x=-3902.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 356  x=-3934.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 357  x=-3966.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 358  x=-3998.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 359  x=-3998.00  y=385.89  z=-3970.00
[Ess] [TERRAIN] 360  x=-3966.00  y=407.07  z=-3970.00
[Ess] [TERRAIN] 361  x=-3934.00  y=412.02  z=-3970.00
[Ess] [TERRAIN] 362  x=-3902.00  y=405.61  z=-3970.00
[Ess] [TERRAIN] 363  x=-3870.00  y=405.76  z=-3970.00
[Ess] [TERRAIN] 364  x=-3838.00  y=388.92  z=-3970.00
[Ess] [TERRAIN] 365  x=-3806.00  y=361.48  z=-3970.00
[Ess] [TERRAIN] 366  x=-3774.00  y=350.03  z=-3970.00
[Ess] [TERRAIN] 367  x=-3742.00  y=320.88  z=-3970.00
[Ess] [TERRAIN] 368  x=-3710.00  y=312.78  z=-3970.00
[Ess] [TERRAIN] 369  x=-3678.00  y=325.95  z=-3970.00
[Ess] [TERRAIN] 370  x=-3646.00  y=351.37  z=-3970.00
[Ess] [TERRAIN] 371  x=-3614.00  y=372.22  z=-3970.00
[Ess] [TERRAIN] 372  x=-3582.00  y=380.74  z=-3970.00
[Ess] [TERRAIN] 373  x=-3550.00  y=369.01  z=-3970.00
[Ess] [TERRAIN] 374  x=-3518.00  y=360.87  z=-3970.00
