[Ess] Net: DISABLED (Ess.Net.OFF) -- no receiver hijack on NetEventCallback, no wire traffic
[Ess] Net: v0.2.1 ready (EV=5 SLOTS=5 HB=2)
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] Object.spawn: Pg.Spawn failed for 'Cash (Large)'
[Ess] [gridprobe] dropped 244/256 probes (16x16 @ 8u), settling 8.0s...
[Ess] [GRID] 1  x=2610.40  y=-14.21  z=-884.23  yaw=0.0
[Ess] [GRID] 2  x=2604.53  y=-14.42  z=-872.93  yaw=0.0
[Ess] [GRID] 3  x=2604.13  y=-14.51  z=-865.52  yaw=0.0
[Ess] [GRID] 4  x=2604.05  y=-14.51  z=-856.75  yaw=0.0
[Ess] [GRID] 5  x=2605.01  y=-13.25  z=-849.76  yaw=0.0
[Ess] [GRID] 6  x=2603.63  y=-13.63  z=-840.46  yaw=0.0
[Ess] [GRID] 7  x=2606.97  y=-13.53  z=-832.11  yaw=0.0
[Ess] [GRID] 8  x=2604.34  y=-14.80  z=-824.87  yaw=0.0
[Ess] [GRID] 9  x=2603.75  y=-15.81  z=-817.28  yaw=0.0
[Ess] [GRID] 10  x=2604.33  y=-35.94  z=-780.35  yaw=0.0
[Ess] [GRID] 11  x=2607.31  y=-35.49  z=-779.38  yaw=0.0
[Ess] [GRID] 12  x=2606.72  y=5.87  z=-893.79  yaw=0.0
[Ess] [GRID] 13  x=2595.49  y=-14.54  z=-865.31  yaw=0.0
[Ess] [GRID] 14  x=2617.03  y=-13.17  z=-875.44  yaw=0.0
[Ess] [GRID] 15  x=2611.92  y=-14.42  z=-864.89  yaw=0.0
[Ess] [GRID] 16  x=2612.17  y=-14.04  z=-856.89  yaw=0.0
[Ess] [GRID] 17  x=2610.89  y=-14.42  z=-850.45  yaw=0.0
[Ess] [GRID] 18  x=2611.20  y=-13.74  z=-841.38  yaw=0.0
[Ess] [GRID] 19  x=2608.04  y=-13.90  z=-832.78  yaw=0.0
[Ess] [GRID] 20  x=2612.27  y=-14.68  z=-825.08  yaw=0.0
[Ess] [GRID] 21  x=2614.50  y=-13.99  z=-816.04  yaw=0.0
[Ess] [GRID] 22  x=2611.92  y=-30.31  z=-791.81  yaw=0.0
[Ess] [GRID] 23  x=2609.61  y=-35.27  z=-782.27  yaw=0.0
[Ess] [GRID] 24  x=2607.72  y=-35.26  z=-781.72  yaw=0.0
[Ess] [GRID] 25  x=2612.14  y=-35.12  z=-781.79  yaw=0.0
[Ess] [GRID] 26  x=2614.65  y=1.91  z=-903.77  yaw=0.0
[Ess] [GRID] 27  x=2620.39  y=7.80  z=-889.11  yaw=0.0
[Ess] [GRID] 28  x=2605.11  y=-13.08  z=-858.19  yaw=0.0
[Ess] [GRID] 29  x=2620.32  y=-14.73  z=-865.00  yaw=0.0
[Ess] [GRID] 30  x=2620.29  y=-14.71  z=-857.03  yaw=0.0
[Ess] [GRID] 31  x=2620.17  y=-14.31  z=-849.28  yaw=0.0
[Ess] [GRID] 32  x=2620.47  y=-14.01  z=-841.32  yaw=0.0
[Ess] [GRID] 33  x=2619.18  y=-13.22  z=-832.26  yaw=0.0
[Ess] [GRID] 34  x=2620.17  y=-14.32  z=-825.13  yaw=0.0
[Ess] [GRID] 35  x=2620.60  y=-13.70  z=-814.71  yaw=0.0
[Ess] [GRID] 36  x=2614.95  y=-29.71  z=-790.91  yaw=0.0
[Ess] [GRID] 37  x=2610.55  y=-36.57  z=-783.77  yaw=0.0
[Ess] [GRID] 38  x=2616.43  y=-36.10  z=-780.93  yaw=0.0
[Ess] [GRID] 39  x=2619.61  y=-36.49  z=-780.49  yaw=0.0
[Ess] [GRID] 40  x=2619.58  y=-39.64  z=-775.11  yaw=0.0
[Ess] [GRID] 41  x=2628.39  y=7.80  z=-897.11  yaw=0.0
[Ess] [GRID] 42  x=2628.39  y=7.80  z=-889.11  yaw=0.0
[Ess] [GRID] 43  x=2628.39  y=7.80  z=-881.11  yaw=0.0
[Ess] [GRID] 44  x=2628.39  y=7.80  z=-873.16  yaw=0.0
[Ess] [GRID] 45  x=2610.57  y=-13.30  z=-845.53  yaw=0.0
[Ess] [GRID] 46  x=2628.25  y=-14.35  z=-857.25  yaw=0.0
[Ess] [GRID] 47  x=2612.96  y=-13.51  z=-858.94  yaw=0.0
[Ess] [GRID] 48  x=2632.96  y=-13.92  z=-837.94  yaw=0.0
[Ess] [GRID] 49  x=2627.13  y=-12.74  z=-831.08  yaw=0.0
[Ess] [GRID] 50  x=2628.43  y=-14.00  z=-825.69  yaw=0.0
[Ess] [GRID] 51  x=2633.96  y=-13.32  z=-822.54  yaw=0.0
[Ess] [GRID] 52  x=2618.55  y=-18.47  z=-804.85  yaw=0.0
[Ess] [GRID] 53  x=2631.58  y=-37.77  z=-780.86  yaw=0.0
[Ess] [GRID] 54  x=2636.05  y=-36.57  z=-778.84  yaw=0.0
[Ess] [GRID] 55  x=2630.53  y=-35.76  z=-777.96  yaw=0.0
[Ess] [GRID] 56  x=2628.56  y=-36.87  z=-775.05  yaw=0.0
[Ess] [GRID] 57  x=2636.41  y=7.80  z=-897.10  yaw=0.0
[Ess] [GRID] 58  x=2636.41  y=7.80  z=-889.10  yaw=0.0
[Ess] [GRID] 59  x=2636.41  y=7.80  z=-881.10  yaw=0.0
[Ess] [GRID] 60  x=2636.41  y=7.80  z=-873.10  yaw=0.0
[Ess] [GRID] 61  x=2649.42  y=-12.73  z=-851.29  yaw=0.0
[Ess] [GRID] 62  x=2639.72  y=-12.73  z=-857.11  yaw=0.0
[Ess] [GRID] 63  x=2636.33  y=-14.19  z=-849.06  yaw=0.0
[Ess] [GRID] 64  x=2636.43  y=-14.20  z=-840.92  yaw=0.0
[Ess] [GRID] 65  x=2636.66  y=-14.00  z=-833.28  yaw=0.0
[Ess] [GRID] 66  x=2636.46  y=-12.89  z=-825.96  yaw=0.0
[Ess] [GRID] 67  x=2634.12  y=-12.73  z=-824.60  yaw=0.0
[Ess] [GRID] 68  x=2631.18  y=-13.37  z=-809.10  yaw=0.0
[Ess] [GRID] 69  x=2634.61  y=-37.46  z=-778.88  yaw=0.0
[Ess] [GRID] 70  x=2637.93  y=-35.70  z=-778.74  yaw=0.0
[Ess] [GRID] 71  x=2635.30  y=-35.85  z=-776.61  yaw=0.0
[Ess] [GRID] 72  x=2635.85  y=-35.84  z=-774.81  yaw=0.0
[Ess] [GRID] 73  x=2643.81  y=8.74  z=-896.68  yaw=0.0
[Ess] [GRID] 74  x=2644.41  y=7.80  z=-889.10  yaw=0.0
[Ess] [GRID] 75  x=2644.41  y=7.80  z=-881.10  yaw=0.0
[Ess] [GRID] 76  x=2656.05  y=-12.71  z=-863.20  yaw=0.0
[Ess] [GRID] 77  x=2644.49  y=-13.94  z=-865.29  yaw=0.0
[Ess] [GRID] 78  x=2643.36  y=-14.00  z=-857.58  yaw=0.0
[Ess] [GRID] 79  x=2646.83  y=-13.10  z=-850.12  yaw=0.0
[Ess] [GRID] 80  x=2644.35  y=-14.12  z=-841.11  yaw=0.0
[Ess] [GRID] 81  x=2644.52  y=-14.00  z=-832.91  yaw=0.0
[Ess] [GRID] 82  x=2641.86  y=-12.73  z=-825.66  yaw=0.0
[Ess] [GRID] 83  x=2644.70  y=-12.90  z=-816.85  yaw=0.0
[Ess] [GRID] 84  x=2643.07  y=-13.95  z=-805.24  yaw=0.0
[Ess] [GRID] 85  x=2636.90  y=-36.74  z=-781.37  yaw=0.0
[Ess] [GRID] 86  x=2641.33  y=-35.51  z=-776.02  yaw=0.0
[Ess] [GRID] 87  x=2637.88  y=-36.37  z=-773.90  yaw=0.0
[Ess] [GRID] 88  x=2643.98  y=-36.63  z=-774.65  yaw=0.0
[Ess] [GRID] 89  x=2660.44  y=2.93  z=-907.30  yaw=0.0
[Ess] [GRID] 90  x=2651.77  y=8.70  z=-888.48  yaw=0.0
[Ess] [GRID] 91  x=2666.41  y=-13.96  z=-865.31  yaw=0.0
[Ess] [GRID] 92  x=2652.26  y=-12.45  z=-873.64  yaw=0.0
[Ess] [GRID] 93  x=2652.48  y=-13.83  z=-867.05  yaw=0.0
[Ess] [GRID] 94  x=2652.66  y=-14.00  z=-857.26  yaw=0.0
[Ess] [GRID] 95  x=2652.23  y=-14.00  z=-849.20  yaw=0.0
[Ess] [GRID] 96  x=2652.35  y=-14.18  z=-841.18  yaw=0.0
[Ess] [GRID] 97  x=2652.33  y=-14.00  z=-832.86  yaw=0.0
[Ess] [GRID] 98  x=2652.85  y=-14.00  z=-827.79  yaw=0.0
[Ess] [GRID] 99  x=2653.58  y=-12.61  z=-819.40  yaw=0.0
[Ess] [GRID] 100  x=2653.78  y=-13.90  z=-809.86  yaw=0.0
[Ess] [GRID] 101  x=2651.18  y=-30.20  z=-784.12  yaw=0.0
[Ess] [GRID] 102  x=2645.07  y=-36.33  z=-776.32  yaw=0.0
[Ess] [GRID] 103  x=2650.54  y=-35.90  z=-773.02  yaw=0.0
[Ess] [GRID] 104  x=2648.57  y=-35.18  z=-775.09  yaw=0.0
[Ess] [GRID] 105  x=2660.36  y=1.35  z=-897.07  yaw=0.0
[Ess] [GRID] 106  x=2661.79  y=2.93  z=-895.04  yaw=0.0
[Ess] [GRID] 107  x=2661.70  y=-13.82  z=-879.48  yaw=0.0
[Ess] [GRID] 108  x=2665.08  y=-12.40  z=-875.69  yaw=0.0
[Ess] [GRID] 109  x=2653.58  y=-12.50  z=-864.44  yaw=0.0
[Ess] [GRID] 110  x=2666.68  y=-13.98  z=-856.34  yaw=0.0
[Ess] [GRID] 111  x=2656.99  y=-12.59  z=-846.35  yaw=0.0
[Ess] [GRID] 112  x=2659.43  y=-12.59  z=-836.37  yaw=0.0
[Ess] [GRID] 113  x=2664.27  y=-12.73  z=-831.33  yaw=0.0
[Ess] [GRID] 114  x=2660.02  y=-14.00  z=-825.43  yaw=0.0
[Ess] [GRID] 115  x=2658.01  y=-12.58  z=-817.26  yaw=0.0
[Ess] [GRID] 116  x=2655.79  y=-12.64  z=-811.89  yaw=0.0
[Ess] [GRID] 117  x=2654.78  y=-29.82  z=-784.38  yaw=0.0
[Ess] [GRID] 118  x=2652.38  y=-36.15  z=-770.24  yaw=0.0
[Ess] [GRID] 119  x=2651.47  y=-35.64  z=-772.45  yaw=0.0
[Ess] [GRID] 120  x=2648.30  y=-36.71  z=-772.25  yaw=0.0
[Ess] [GRID] 121  x=2664.93  y=2.93  z=-899.43  yaw=0.0
[Ess] [GRID] 122  x=2679.47  y=-12.67  z=-874.91  yaw=0.0
[Ess] [GRID] 123  x=2663.28  y=-12.98  z=-879.59  yaw=0.0
[Ess] [GRID] 124  x=2667.75  y=-12.79  z=-869.00  yaw=0.0
[Ess] [GRID] 125  x=2674.69  y=-13.09  z=-866.26  yaw=0.0
[Ess] [GRID] 126  x=2668.93  y=-14.00  z=-857.21  yaw=0.0
[Ess] [GRID] 127  x=2668.30  y=-14.00  z=-848.86  yaw=0.0
[Ess] [GRID] 128  x=2668.64  y=-13.88  z=-840.90  yaw=0.0
[Ess] [GRID] 129  x=2672.38  y=-12.61  z=-834.59  yaw=0.0
[Ess] [GRID] 130  x=2665.25  y=-12.72  z=-823.04  yaw=0.0
[Ess] [GRID] 131  x=2668.35  y=-13.89  z=-817.07  yaw=0.0
[Ess] [GRID] 132  x=2667.92  y=-12.55  z=-813.01  yaw=0.0
[Ess] [GRID] 133  x=2658.94  y=-25.10  z=-786.93  yaw=0.0
[Ess] [GRID] 134  x=2655.03  y=-35.42  z=-770.38  yaw=0.0
[Ess] [GRID] 135  x=2653.77  y=-36.85  z=-771.56  yaw=0.0
[Ess] [GRID] 136  x=2649.63  y=-36.62  z=-770.51  yaw=0.0
[Ess] [GRID] 137  x=2686.38  y=-12.47  z=-887.16  yaw=0.0
[Ess] [GRID] 138  x=2676.09  y=-13.84  z=-889.20  yaw=0.0
[Ess] [GRID] 139  x=2676.38  y=-13.85  z=-881.10  yaw=0.0
[Ess] [GRID] 140  x=2677.62  y=-12.59  z=-870.33  yaw=0.0
[Ess] [GRID] 141  x=2676.38  y=-14.00  z=-864.84  yaw=0.0
[Ess] [GRID] 142  x=2676.65  y=-14.00  z=-857.33  yaw=0.0
[Ess] [GRID] 143  x=2676.30  y=-14.00  z=-848.86  yaw=0.0
[Ess] [GRID] 144  x=2675.94  y=-13.88  z=-840.71  yaw=0.0
[Ess] [GRID] 145  x=2680.58  y=-12.61  z=-835.12  yaw=0.0
[Ess] [GRID] 146  x=2675.13  y=-12.97  z=-825.34  yaw=0.0
[Ess] [GRID] 147  x=2675.95  y=-14.19  z=-816.96  yaw=0.0
[Ess] [GRID] 148  x=2676.88  y=-13.86  z=-808.91  yaw=0.0
[Ess] [GRID] 149  x=2678.63  y=-13.90  z=-800.92  yaw=0.0
[Ess] [GRID] 150  x=2666.05  y=-23.92  z=-784.78  yaw=0.0
[Ess] [GRID] 151  x=2675.13  y=-19.14  z=-786.59  yaw=0.0
[Ess] [GRID] 152  x=2677.06  y=-26.33  z=-759.58  yaw=0.0
[Ess] [GRID] 153  x=2684.36  y=-14.00  z=-896.91  yaw=0.0
[Ess] [GRID] 154  x=2684.85  y=-12.59  z=-885.09  yaw=0.0
[Ess] [GRID] 155  x=2686.22  y=-12.61  z=-880.45  yaw=0.0
[Ess] [GRID] 156  x=2684.24  y=-12.46  z=-873.02  yaw=0.0
[Ess] [GRID] 157  x=2677.14  y=-14.00  z=-868.10  yaw=0.0
[Ess] [GRID] 158  x=2684.30  y=-14.00  z=-856.86  yaw=0.0
[Ess] [GRID] 159  x=2684.42  y=-12.89  z=-847.67  yaw=0.0
[Ess] [GRID] 160  x=2684.33  y=-14.00  z=-841.34  yaw=0.0
[Ess] [GRID] 161  x=2684.33  y=-14.00  z=-833.35  yaw=0.0
[Ess] [GRID] 162  x=2684.35  y=-14.00  z=-825.34  yaw=0.0
[Ess] [GRID] 163  x=2680.83  y=-12.97  z=-812.46  yaw=0.0
[Ess] [GRID] 164  x=2679.19  y=-13.88  z=-816.26  yaw=0.0
[Ess] [GRID] 165  x=2684.49  y=-13.95  z=-801.38  yaw=0.0
[Ess] [GRID] 166  x=2683.84  y=-14.57  z=-793.17  yaw=0.0
[Ess] [GRID] 167  x=2670.48  y=-23.39  z=-784.42  yaw=0.0
[Ess] [GRID] 168  x=2669.16  y=-29.66  z=-767.46  yaw=0.0
[Ess] [GRID] 169  x=2692.06  y=-14.01  z=-897.27  yaw=0.0
[Ess] [GRID] 170  x=2694.26  y=-12.74  z=-898.45  yaw=0.0
[Ess] [GRID] 171  x=2692.28  y=-6.06  z=-881.11  yaw=0.0
[Ess] [GRID] 172  x=2692.37  y=-6.05  z=-873.04  yaw=0.0
[Ess] [GRID] 173  x=2692.35  y=-6.06  z=-865.05  yaw=0.0
[Ess] [GRID] 174  x=2692.29  y=-14.01  z=-857.00  yaw=0.0
[Ess] [GRID] 175  x=2692.37  y=-14.00  z=-849.23  yaw=0.0
[Ess] [GRID] 176  x=2678.56  y=-14.00  z=-842.05  yaw=0.0
[Ess] [GRID] 177  x=2692.33  y=-14.00  z=-833.22  yaw=0.0
[Ess] [GRID] 178  x=2683.70  y=-13.88  z=-820.19  yaw=0.0
[Ess] [GRID] 179  x=2692.28  y=-13.88  z=-817.01  yaw=0.0
[Ess] [GRID] 180  x=2691.09  y=-12.97  z=-808.93  yaw=0.0
[Ess] [GRID] 181  x=2692.32  y=-13.99  z=-801.12  yaw=0.0
[Ess] [GRID] 182  x=2693.36  y=-12.66  z=-795.95  yaw=0.0
[Ess] [GRID] 183  x=2692.24  y=-14.08  z=-785.00  yaw=0.0
[Ess] [GRID] 184  x=2677.95  y=-24.74  z=-770.07  yaw=0.0
[Ess] [GRID] 185  x=2704.91  y=-12.62  z=-901.21  yaw=0.0
[Ess] [GRID] 186  x=2702.19  y=-12.81  z=-887.52  yaw=0.0
[Ess] [GRID] 187  x=2700.31  y=-6.07  z=-881.10  yaw=0.0
[Ess] [GRID] 188  x=2694.11  y=-4.49  z=-871.75  yaw=0.0
[Ess] [GRID] 189  x=2694.62  y=-4.49  z=-869.43  yaw=0.0
[Ess] [GRID] 190  x=2699.32  y=-3.93  z=-857.06  yaw=0.0
[Ess] [GRID] 191  x=2700.14  y=-2.59  z=-849.01  yaw=0.0
[Ess] [GRID] 192  x=2699.76  y=-2.20  z=-841.34  yaw=0.0
[Ess] [GRID] 193  x=2700.34  y=-14.00  z=-833.13  yaw=0.0
[Ess] [GRID] 194  x=2701.01  y=-13.09  z=-819.82  yaw=0.0
[Ess] [GRID] 195  x=2700.11  y=-13.88  z=-817.32  yaw=0.0
[Ess] [GRID] 196  x=2702.22  y=-12.98  z=-808.24  yaw=0.0
[Ess] [GRID] 197  x=2700.21  y=-13.94  z=-801.77  yaw=0.0
[Ess] [GRID] 198  x=2700.55  y=-13.11  z=-791.67  yaw=0.0
[Ess] [GRID] 199  x=2700.32  y=-12.87  z=-788.79  yaw=0.0
[Ess] [GRID] 200  x=2700.02  y=-13.91  z=-777.15  yaw=0.0
[Ess] [GRID] 201  x=2708.16  y=-13.92  z=-897.23  yaw=0.0
[Ess] [GRID] 202  x=2693.49  y=-12.68  z=-893.89  yaw=0.0
[Ess] [GRID] 203  x=2707.90  y=-2.97  z=-881.09  yaw=0.0
[Ess] [GRID] 204  x=2708.11  y=-2.10  z=-873.08  yaw=0.0
[Ess] [GRID] 205  x=2695.70  y=-4.86  z=-868.36  yaw=0.0
[Ess] [GRID] 206  x=2694.01  y=-4.85  z=-864.62  yaw=0.0
[Ess] [GRID] 207  x=2700.63  y=-1.64  z=-856.30  yaw=0.0
[Ess] [GRID] 208  x=2708.17  y=0.13  z=-840.93  yaw=0.0
[Ess] [GRID] 209  x=2708.39  y=-14.00  z=-832.97  yaw=0.0
[Ess] [GRID] 210  x=2708.32  y=-14.00  z=-825.00  yaw=0.0
[Ess] [GRID] 211  x=2708.03  y=-13.88  z=-817.33  yaw=0.0
[Ess] [GRID] 212  x=2705.70  y=-12.61  z=-809.79  yaw=0.0
[Ess] [GRID] 213  x=2708.06  y=-13.99  z=-801.85  yaw=0.0
[Ess] [GRID] 214  x=2710.94  y=-13.10  z=-795.71  yaw=0.0
[Ess] [GRID] 215  x=2709.95  y=-13.14  z=-788.57  yaw=0.0
[Ess] [GRID] 216  x=2713.73  y=-13.40  z=-781.20  yaw=0.0
[Ess] [GRID] 217  x=2715.69  y=-13.93  z=-888.73  yaw=0.0
[Ess] [GRID] 218  x=2716.38  y=-0.35  z=-881.16  yaw=0.0
[Ess] [GRID] 219  x=2716.34  y=0.13  z=-872.95  yaw=0.0
[Ess] [GRID] 220  x=2723.76  y=1.13  z=-868.02  yaw=0.0
[Ess] [GRID] 221  x=2716.37  y=0.59  z=-857.12  yaw=0.0
[Ess] [GRID] 222  x=2716.37  y=0.69  z=-849.10  yaw=0.0
[Ess] [GRID] 223  x=2716.27  y=0.79  z=-841.12  yaw=0.0
[Ess] [GRID] 224  x=2719.41  y=-12.89  z=-785.72  yaw=0.0
[Ess] [GRID] 225  x=2716.41  y=-14.01  z=-824.95  yaw=0.0
[Ess] [GRID] 226  x=2717.81  y=-13.88  z=-816.59  yaw=0.0
[Ess] [GRID] 227  x=2715.93  y=-13.88  z=-808.20  yaw=0.0
[Ess] [GRID] 228  x=2716.33  y=-13.97  z=-801.16  yaw=0.0
[Ess] [GRID] 229  x=2716.08  y=-14.41  z=-793.30  yaw=0.0
[Ess] [GRID] 230  x=2712.98  y=-13.14  z=-785.68  yaw=0.0
[Ess] [GRID] 231  x=2724.37  y=0.70  z=-881.10  yaw=0.0
[Ess] [GRID] 232  x=2724.27  y=2.15  z=-876.72  yaw=0.0
[Ess] [GRID] 233  x=2724.59  y=0.77  z=-864.99  yaw=0.0
[Ess] [GRID] 234  x=2724.41  y=1.11  z=-857.23  yaw=0.0
[Ess] [GRID] 235  x=2724.36  y=0.57  z=-849.14  yaw=0.0
[Ess] [GRID] 236  x=2726.36  y=0.38  z=-840.94  yaw=0.0
[Ess] [GRID] 237  x=2726.69  y=-0.46  z=-833.46  yaw=0.0
[Ess] [GRID] 238  x=2728.32  y=-12.66  z=-826.60  yaw=0.0
[Ess] [GRID] 239  x=2728.78  y=-12.66  z=-819.01  yaw=0.0
[Ess] [GRID] 240  x=2732.87  y=-14.01  z=-809.96  yaw=0.0
[Ess] [GRID] 241  x=2724.34  y=-14.00  z=-801.18  yaw=0.0
[Ess] [GRID] 242  x=2724.31  y=-12.89  z=-794.43  yaw=0.0
[Ess] [gridprobe] read 242 probe(s), cleaned up.
[Ess] [FOOT] 54  x=2665.67  y=-13.84  z=-836.51  yaw=58.3
[Ess] [FOOT] 55  x=2667.04  y=-13.84  z=-835.50  yaw=50.6
[Ess] [FOOT] 56  x=2668.72  y=-13.84  z=-833.97  yaw=48.3
[Ess] [FOOT] 57  x=2670.49  y=-13.84  z=-832.32  yaw=46.8
[Ess] [FOOT] 58  x=2672.20  y=-13.84  z=-830.46  yaw=40.7
[Ess] [FOOT] 59  x=2673.73  y=-13.84  z=-828.41  yaw=36.7
[Ess] [FOOT] 60  x=2675.33  y=-13.84  z=-826.45  yaw=46.1
[Ess] [FOOT] 61  x=2677.20  y=-13.84  z=-824.72  yaw=46.9
[Ess] [FOOT] 62  x=2679.12  y=-13.84  z=-823.00  yaw=48.0
[Ess] [FOOT] 63  x=2681.06  y=-13.84  z=-821.30  yaw=49.5
[Ess] [FOOT] 64  x=2683.25  y=-13.84  z=-820.04  yaw=66.2
[Ess] [FOOT] 65  x=2685.58  y=-13.84  z=-819.01  yaw=66.9
[Ess] [FOOT] 66  x=2687.97  y=-13.84  z=-818.35  yaw=81.0
[Ess] [FOOT] 67  x=2690.52  y=-13.97  z=-818.01  yaw=81.0
[Ess] [FOOT] 68  x=2693.05  y=-13.85  z=-817.59  yaw=79.4
[Ess] [FOOT] 69  x=2695.60  y=-13.85  z=-817.05  yaw=78.5
[Ess] [FOOT] 70  x=2698.16  y=-13.85  z=-816.51  yaw=78.5
[Ess] [FOOT] 71  x=2700.63  y=-13.85  z=-815.98  yaw=78.5
[Ess] [FOOT] 72  x=2703.16  y=-13.85  z=-815.43  yaw=78.5
