[Ess] Net: DISABLED (Ess.Net.OFF) -- no receiver hijack on NetEventCallback, no wire traffic
[Ess] Net: v0.2.1 ready (EV=5 SLOTS=5 HB=2)
[Ess] registered 'demo_convoy' (Demo: Wreck the Convoy)
[Ess] Contract: loaded (1 contract(s) registered)
[Ess] v0.2.1 ready
[Ess] [roadlog] STARTED -- logging every 0.25s (F11 again to stop)
[Ess] [ROAD] 1  x=2638.71  y=-3.89  z=-1032.05  yaw=131.4
[Ess] [ROAD] 40  x=2781.91  y=-19.28  z=-1138.81  yaw=129.0
[Ess] [ROAD] 41  x=2789.61  y=-19.96  z=-1145.33  yaw=132.8
[Ess] [ROAD] 42  x=2796.57  y=-20.57  z=-1151.64  yaw=133.0
[Ess] [ROAD] 43  x=2803.50  y=-21.17  z=-1158.06  yaw=132.9
[Ess] [ROAD] 44  x=2810.34  y=-21.76  z=-1164.42  yaw=132.9
[Ess] [ROAD] 45  x=2817.20  y=-22.35  z=-1170.80  yaw=132.9
[Ess] [ROAD] 46  x=2824.05  y=-22.95  z=-1177.17  yaw=132.9
[Ess] [ROAD] 47  x=2830.05  y=-23.48  z=-1182.76  yaw=133.7
[Ess] [ROAD] 48  x=2835.35  y=-24.01  z=-1188.14  yaw=139.3
[Ess] [ROAD] 49  x=2840.41  y=-24.47  z=-1193.93  yaw=142.8
[Ess] [ROAD] 50  x=2844.39  y=-24.66  z=-1199.70  yaw=157.0
[Ess] [ROAD] 51  x=2846.91  y=-24.64  z=-1206.11  yaw=171.7
[Ess] [ROAD] 52  x=2848.45  y=-24.65  z=-1212.54  yaw=166.7
[Ess] [ROAD] 53  x=2849.92  y=-24.65  z=-1218.97  yaw=170.4
[Ess] [ROAD] 54  x=2850.69  y=-24.65  z=-1225.34  yaw=-178.6
[Ess] [ROAD] 55  x=2850.40  y=-24.65  z=-1231.62  yaw=-167.8
[Ess] [ROAD] 56  x=2849.31  y=-24.65  z=-1237.47  yaw=-163.6
[Ess] [ROAD] 57  x=2847.44  y=-24.65  z=-1243.04  yaw=-150.5
[Ess] [ROAD] 58  x=2844.72  y=-24.64  z=-1248.04  yaw=-142.8
[Ess] [ROAD] 59  x=2841.41  y=-24.62  z=-1252.33  yaw=-134.9
[Ess] [ROAD] 60  x=2837.78  y=-24.60  z=-1255.92  yaw=-127.2
[Ess] [ROAD] 61  x=2833.56  y=-24.59  z=-1259.12  yaw=-120.2
[Ess] [ROAD] 62  x=2828.60  y=-24.61  z=-1262.01  yaw=-114.5
[Ess] [ROAD] 63  x=2822.81  y=-24.70  z=-1264.69  yaw=-111.8
[Ess] [ROAD] 64  x=2816.55  y=-24.91  z=-1267.54  yaw=-117.3
[Ess] [ROAD] 65  x=2809.68  y=-25.33  z=-1271.00  yaw=-117.8
[Ess] [ROAD] 66  x=2802.16  y=-25.94  z=-1274.71  yaw=-112.9
[Ess] [ROAD] 67  x=2793.78  y=-26.74  z=-1278.20  yaw=-110.2
[Ess] [ROAD] 68  x=2784.77  y=-27.65  z=-1281.77  yaw=-112.2
[Ess] [ROAD] 69  x=2775.21  y=-28.59  z=-1285.30  yaw=-106.1
[Ess] [ROAD] 70  x=2765.40  y=-29.57  z=-1288.25  yaw=-105.1
[Ess] [ROAD] 71  x=2755.57  y=-30.78  z=-1290.80  yaw=-100.0
[Ess] [ROAD] 72  x=2745.79  y=-31.97  z=-1292.41  yaw=-95.2
[Ess] [ROAD] 73  x=2735.97  y=-32.94  z=-1293.44  yaw=-94.2
[Ess] [ROAD] 74  x=2726.23  y=-33.49  z=-1293.91  yaw=-88.9
[Ess] [ROAD] 75  x=2716.42  y=-33.43  z=-1293.71  yaw=-83.5
[Ess] [ROAD] 76  x=2707.06  y=-32.87  z=-1292.71  yaw=-80.2
[Ess] [ROAD] 77  x=2697.82  y=-31.96  z=-1291.08  yaw=-77.1
[Ess] [ROAD] 78  x=2688.62  y=-30.79  z=-1289.30  yaw=-82.4
[Ess] [ROAD] 79  x=2679.23  y=-29.41  z=-1287.99  yaw=-83.8
[Ess] [ROAD] 80  x=2669.33  y=-27.84  z=-1286.87  yaw=-83.7
[Ess] [ROAD] 81  x=2659.52  y=-26.29  z=-1285.57  yaw=-79.1
[Ess] [ROAD] 82  x=2649.48  y=-24.81  z=-1283.56  yaw=-74.3
[Ess] [ROAD] 83  x=2639.69  y=-23.55  z=-1281.05  yaw=-76.2
[Ess] [ROAD] 84  x=2629.54  y=-22.23  z=-1278.59  yaw=-77.2
[Ess] [ROAD] 85  x=2619.36  y=-20.87  z=-1276.24  yaw=-77.2
[Ess] [ROAD] 86  x=2609.29  y=-19.57  z=-1273.66  yaw=-71.0
[Ess] [ROAD] 87  x=2599.94  y=-18.42  z=-1270.62  yaw=-72.5
[Ess] [ROAD] 88  x=2590.05  y=-17.38  z=-1267.73  yaw=-76.0
[Ess] [ROAD] 89  x=2580.21  y=-16.59  z=-1264.70  yaw=-66.9
[Ess] [ROAD] 90  x=2570.80  y=-16.35  z=-1261.09  yaw=-64.4
[Ess] [ROAD] 91  x=2561.66  y=-15.76  z=-1256.62  yaw=-58.6
[Ess] [ROAD] 92  x=2553.37  y=-15.21  z=-1251.57  yaw=-52.2
[Ess] [ROAD] 93  x=2545.71  y=-14.84  z=-1245.60  yaw=-47.2
[Ess] [ROAD] 94  x=2538.91  y=-14.55  z=-1239.51  yaw=-46.0
[Ess] [ROAD] 95  x=2532.31  y=-14.31  z=-1232.79  yaw=-39.5
[Ess] [ROAD] 96  x=2526.43  y=-14.11  z=-1225.60  yaw=-33.4
[Ess] [ROAD] 97  x=2521.21  y=-13.95  z=-1217.97  yaw=-32.0
[Ess] [ROAD] 98  x=2516.20  y=-13.82  z=-1210.10  yaw=-31.9
[Ess] [ROAD] 99  x=2511.20  y=-13.65  z=-1202.03  yaw=-30.4
[Ess] [ROAD] 100  x=2506.39  y=-13.47  z=-1193.87  yaw=-29.6
[Ess] [ROAD] 101  x=2501.90  y=-13.30  z=-1186.03  yaw=-29.6
[Ess] [ROAD] 102  x=2497.47  y=-13.15  z=-1178.24  yaw=-29.6
[Ess] [ROAD] 103  x=2493.00  y=-13.03  z=-1170.25  yaw=-26.7
[Ess] [ROAD] 104  x=2488.88  y=-12.90  z=-1162.04  yaw=-24.6
[Ess] [ROAD] 105  x=2484.70  y=-12.85  z=-1153.06  yaw=-24.5
[Ess] [ROAD] 106  x=2480.74  y=-12.87  z=-1145.15  yaw=-32.1
[Ess] [ROAD] 107  x=2476.10  y=-12.97  z=-1137.51  yaw=-33.9
[Ess] [ROAD] 108  x=2471.22  y=-13.16  z=-1130.27  yaw=-37.2
[Ess] [ROAD] 109  x=2466.02  y=-13.44  z=-1123.31  yaw=-38.9
[Ess] [ROAD] 110  x=2460.56  y=-13.83  z=-1116.74  yaw=-42.6
[Ess] [ROAD] 111  x=2454.73  y=-14.38  z=-1110.56  yaw=-47.6
[Ess] [ROAD] 112  x=2448.67  y=-15.08  z=-1104.94  yaw=-50.0
[Ess] [ROAD] 113  x=2442.38  y=-15.93  z=-1099.55  yaw=-50.5
[Ess] [ROAD] 114  x=2436.10  y=-16.81  z=-1094.31  yaw=-50.4
[Ess] [ROAD] 115  x=2429.78  y=-17.72  z=-1089.09  yaw=-51.0
[Ess] [ROAD] 116  x=2423.61  y=-18.64  z=-1084.30  yaw=-54.8
[Ess] [ROAD] 117  x=2417.19  y=-19.56  z=-1079.68  yaw=-55.7
[Ess] [ROAD] 118  x=2410.55  y=-20.44  z=-1075.39  yaw=-61.2
[Ess] [ROAD] 119  x=2403.71  y=-21.24  z=-1071.52  yaw=-63.0
[Ess] [ROAD] 120  x=2396.75  y=-21.92  z=-1068.24  yaw=-71.2
[Ess] [ROAD] 121  x=2389.82  y=-22.45  z=-1066.06  yaw=-83.7
[Ess] [ROAD] 122  x=2382.72  y=-22.76  z=-1065.52  yaw=-100.9
[Ess] [ROAD] 123  x=2376.04  y=-22.73  z=-1066.43  yaw=-104.0
[Ess] [ROAD] 124  x=2369.79  y=-22.73  z=-1067.77  yaw=-102.1
[Ess] [ROAD] 125  x=2363.31  y=-22.73  z=-1068.84  yaw=-94.2
[Ess] [ROAD] 126  x=2356.83  y=-22.73  z=-1069.45  yaw=-93.3
[Ess] [ROAD] 127  x=2350.06  y=-22.73  z=-1069.90  yaw=-93.2
[Ess] [ROAD] 128  x=2343.15  y=-22.73  z=-1070.29  yaw=-92.3
[Ess] [ROAD] 129  x=2336.58  y=-22.74  z=-1070.44  yaw=-89.0
[Ess] [ROAD] 130  x=2330.03  y=-22.94  z=-1070.44  yaw=-92.2
[Ess] [ROAD] 131  x=2323.62  y=-23.26  z=-1071.06  yaw=-104.6
[Ess] [ROAD] 132  x=2317.51  y=-23.62  z=-1072.45  yaw=-107.2
[Ess] [ROAD] 133  x=2311.64  y=-23.99  z=-1074.34  yaw=-112.8
[Ess] [ROAD] 134  x=2306.01  y=-24.35  z=-1076.61  yaw=-115.4
[Ess] [ROAD] 135  x=2300.53  y=-24.68  z=-1079.21  yaw=-117.7
[Ess] [ROAD] 136  x=2294.46  y=-25.03  z=-1082.32  yaw=-117.8
[Ess] [ROAD] 137  x=2288.32  y=-25.39  z=-1085.54  yaw=-117.8
[Ess] [ROAD] 138  x=2281.75  y=-25.76  z=-1089.00  yaw=-117.8
[Ess] [ROAD] 139  x=2274.51  y=-26.13  z=-1092.83  yaw=-117.9
[Ess] [ROAD] 140  x=2266.91  y=-26.48  z=-1096.72  yaw=-114.9
[Ess] [ROAD] 141  x=2258.65  y=-26.71  z=-1100.61  yaw=-114.0
[Ess] [ROAD] 142  x=2250.56  y=-26.91  z=-1104.03  yaw=-107.0
[Ess] [ROAD] 143  x=2242.21  y=-26.90  z=-1106.41  yaw=-99.7
[Ess] [ROAD] 144  x=2233.78  y=-26.84  z=-1107.83  yaw=-92.1
[Ess] [ROAD] 145  x=2225.49  y=-26.81  z=-1108.19  yaw=-86.1
[Ess] [ROAD] 146  x=2217.50  y=-26.81  z=-1107.54  yaw=-78.7
[Ess] [ROAD] 147  x=2209.74  y=-26.83  z=-1105.88  yaw=-70.5
[Ess] [ROAD] 148  x=2202.20  y=-26.96  z=-1103.41  yaw=-69.2
[Ess] [ROAD] 149  x=2194.62  y=-27.30  z=-1100.61  yaw=-68.8
[Ess] [ROAD] 150  x=2186.09  y=-27.66  z=-1097.30  yaw=-68.4
[Ess] [ROAD] 151  x=2176.94  y=-28.09  z=-1093.69  yaw=-68.1
[Ess] [ROAD] 152  x=2167.38  y=-28.53  z=-1089.83  yaw=-66.9
[Ess] [ROAD] 153  x=2157.92  y=-28.83  z=-1085.58  yaw=-62.5
[Ess] [ROAD] 154  x=2149.01  y=-28.97  z=-1080.86  yaw=-56.0
[Ess] [ROAD] 155  x=2140.40  y=-29.05  z=-1075.05  yaw=-51.9
[Ess] [ROAD] 156  x=2132.35  y=-29.08  z=-1068.92  yaw=-51.8
[Ess] [ROAD] 157  x=2124.38  y=-29.05  z=-1062.70  yaw=-51.8
[Ess] [ROAD] 158  x=2116.74  y=-28.98  z=-1056.69  yaw=-51.8
[Ess] [ROAD] 159  x=2109.13  y=-28.87  z=-1050.85  yaw=-56.1
[Ess] [ROAD] 160  x=2100.91  y=-28.70  z=-1045.50  yaw=-61.1
[Ess] [ROAD] 161  x=2092.04  y=-28.36  z=-1040.60  yaw=-66.5
[Ess] [ROAD] 162  x=2083.65  y=-27.98  z=-1037.28  yaw=-77.1
[Ess] [ROAD] 163  x=2075.57  y=-27.65  z=-1035.11  yaw=-78.1
[Ess] [ROAD] 164  x=2067.94  y=-27.41  z=-1033.08  yaw=-68.4
[Ess] [ROAD] 165  x=2060.33  y=-27.29  z=-1029.87  yaw=-60.0
[Ess] [ROAD] 166  x=2053.63  y=-27.39  z=-1026.27  yaw=-59.6
[Ess] [ROAD] 167  x=2046.94  y=-27.66  z=-1022.34  yaw=-56.0
[Ess] [ROAD] 168  x=2040.57  y=-28.01  z=-1017.96  yaw=-52.1
[Ess] [ROAD] 169  x=2034.29  y=-28.41  z=-1013.20  yaw=-51.6
[Ess] [ROAD] 170  x=2027.92  y=-28.77  z=-1008.20  yaw=-52.4
[Ess] [ROAD] 171  x=2020.97  y=-29.01  z=-1003.24  yaw=-59.5
[Ess] [ROAD] 172  x=2013.72  y=-29.02  z=-998.95  yaw=-65.5
[Ess] [ROAD] 173  x=2005.99  y=-29.02  z=-995.74  yaw=-76.1
[Ess] [ROAD] 174  x=1997.34  y=-28.96  z=-993.31  yaw=-76.8
[Ess] [ROAD] 175  x=1988.04  y=-28.53  z=-991.26  yaw=-81.7
[Ess] [ROAD] 176  x=1978.34  y=-27.96  z=-989.75  yaw=-83.1
[Ess] [ROAD] 177  x=1968.25  y=-27.24  z=-988.62  yaw=-86.0
[Ess] [ROAD] 178  x=1958.34  y=-26.45  z=-987.87  yaw=-87.6
[Ess] [ROAD] 179  x=1948.15  y=-25.59  z=-987.68  yaw=-92.9
[Ess] [ROAD] 180  x=1938.44  y=-24.73  z=-988.03  yaw=-93.4
[Ess] [ROAD] 181  x=1928.65  y=-23.86  z=-988.38  yaw=-89.1
[Ess] [ROAD] 182  x=1918.42  y=-22.98  z=-988.30  yaw=-88.1
[Ess] [ROAD] 183  x=1908.51  y=-22.17  z=-988.03  yaw=-88.1
[Ess] [ROAD] 184  x=1898.47  y=-21.43  z=-987.70  yaw=-87.9
[Ess] [ROAD] 185  x=1888.72  y=-20.81  z=-987.20  yaw=-85.3
[Ess] [ROAD] 186  x=1878.87  y=-20.30  z=-986.45  yaw=-85.1
[Ess] [ROAD] 187  x=1869.09  y=-20.07  z=-985.52  yaw=-81.6
[Ess] [ROAD] 188  x=1859.64  y=-20.11  z=-984.16  yaw=-80.0
[Ess] [ROAD] 189  x=1850.69  y=-20.11  z=-982.64  yaw=-80.0
[Ess] [ROAD] 190  x=1841.38  y=-20.08  z=-981.01  yaw=-80.0
[Ess] [ROAD] 191  x=1832.58  y=-20.02  z=-979.45  yaw=-80.0
[Ess] [ROAD] 192  x=1823.55  y=-19.95  z=-977.78  yaw=-77.2
[Ess] [ROAD] 193  x=1814.42  y=-19.87  z=-975.73  yaw=-75.7
[Ess] [ROAD] 194  x=1805.70  y=-19.78  z=-973.56  yaw=-75.6
[Ess] [ROAD] 195  x=1796.92  y=-19.70  z=-971.22  yaw=-71.4
[Ess] [ROAD] 196  x=1788.44  y=-19.61  z=-968.36  yaw=-68.4
[Ess] [ROAD] 197  x=1780.39  y=-19.54  z=-965.30  yaw=-69.5
[Ess] [ROAD] 198  x=1772.00  y=-19.47  z=-962.65  yaw=-79.2
[Ess] [ROAD] 199  x=1763.49  y=-19.42  z=-960.83  yaw=-80.5
[Ess] [ROAD] 200  x=1755.24  y=-19.40  z=-959.40  yaw=-82.5
[Ess] [ROAD] 201  x=1746.92  y=-19.40  z=-958.60  yaw=-90.5
[Ess] [ROAD] 202  x=1738.63  y=-19.40  z=-958.49  yaw=-91.3
[Ess] [ROAD] 203  x=1730.49  y=-19.40  z=-958.63  yaw=-92.1
[Ess] [ROAD] 204  x=1722.25  y=-19.37  z=-959.12  yaw=-96.4
[Ess] [ROAD] 205  x=1714.34  y=-19.30  z=-959.91  yaw=-96.8
[Ess] [ROAD] 206  x=1706.39  y=-19.22  z=-960.93  yaw=-99.3
[Ess] [ROAD] 207  x=1698.60  y=-19.14  z=-962.14  yaw=-99.7
[Ess] [ROAD] 208  x=1690.95  y=-19.06  z=-963.42  yaw=-99.7
[Ess] [ROAD] 209  x=1683.36  y=-19.00  z=-964.71  yaw=-99.7
[Ess] [ROAD] 210  x=1675.86  y=-18.98  z=-965.99  yaw=-99.7
[Ess] [ROAD] 211  x=1668.43  y=-18.99  z=-967.25  yaw=-99.7
[Ess] [ROAD] 212  x=1661.43  y=-19.04  z=-968.45  yaw=-99.7
[Ess] [ROAD] 213  x=1654.15  y=-19.16  z=-969.69  yaw=-99.7
[Ess] [ROAD] 214  x=1646.90  y=-19.34  z=-970.92  yaw=-99.7
[Ess] [ROAD] 215  x=1639.94  y=-19.58  z=-972.11  yaw=-99.7
[Ess] [ROAD] 216  x=1633.02  y=-19.92  z=-973.29  yaw=-99.7
[Ess] [ROAD] 217  x=1626.05  y=-20.39  z=-974.48  yaw=-99.7
[Ess] [ROAD] 218  x=1619.36  y=-20.97  z=-975.62  yaw=-99.7
[Ess] [ROAD] 219  x=1612.61  y=-21.63  z=-976.77  yaw=-99.7
[Ess] [ROAD] 220  x=1606.10  y=-22.33  z=-977.89  yaw=-100.5
[Ess] [ROAD] 221  x=1599.71  y=-23.05  z=-979.09  yaw=-101.6
[Ess] [ROAD] 222  x=1593.10  y=-23.79  z=-980.23  yaw=-96.0
[Ess] [ROAD] 223  x=1586.39  y=-24.51  z=-981.00  yaw=-94.5
[Ess] [ROAD] 224  x=1579.93  y=-25.15  z=-981.58  yaw=-94.5
[Ess] [ROAD] 225  x=1573.45  y=-25.72  z=-982.11  yaw=-94.5
[Ess] [ROAD] 226  x=1566.95  y=-26.20  z=-982.64  yaw=-94.5
[Ess] [ROAD] 227  x=1560.44  y=-26.52  z=-983.16  yaw=-94.5
[Ess] [ROAD] 228  x=1553.38  y=-26.55  z=-983.72  yaw=-94.5
[Ess] [ROAD] 229  x=1545.64  y=-26.54  z=-984.33  yaw=-94.5
[Ess] [ROAD] 230  x=1537.40  y=-26.54  z=-984.98  yaw=-94.5
[Ess] [ROAD] 231  x=1528.42  y=-26.54  z=-985.69  yaw=-94.5
[Ess] [ROAD] 232  x=1519.27  y=-26.54  z=-986.40  yaw=-94.3
[Ess] [ROAD] 233  x=1510.05  y=-26.58  z=-986.79  yaw=-86.6
[Ess] [ROAD] 234  x=1500.93  y=-27.35  z=-986.59  yaw=-83.2
[Ess] [ROAD] 235  x=1491.78  y=-28.73  z=-986.23  yaw=-82.7
[Ess] [ROAD] 236  x=1482.73  y=-29.77  z=-985.18  yaw=-79.5
[Ess] [ROAD] 237  x=1473.90  y=-30.24  z=-983.63  yaw=-76.3
[Ess] [ROAD] 238  x=1465.33  y=-30.19  z=-981.49  yaw=-73.0
[Ess] [ROAD] 239  x=1456.89  y=-30.19  z=-979.02  yaw=-72.9
[Ess] [ROAD] 240  x=1448.59  y=-30.18  z=-976.55  yaw=-76.0
[Ess] [ROAD] 241  x=1440.20  y=-30.17  z=-974.60  yaw=-80.5
[Ess] [ROAD] 242  x=1431.49  y=-30.16  z=-973.03  yaw=-80.8
[Ess] [ROAD] 243  x=1422.12  y=-30.15  z=-971.47  yaw=-80.7
[Ess] [ROAD] 244  x=1412.33  y=-30.14  z=-969.86  yaw=-80.7
[Ess] [ROAD] 245  x=1401.96  y=-30.12  z=-968.16  yaw=-80.7
[Ess] [ROAD] 246  x=1391.60  y=-30.10  z=-966.46  yaw=-80.7
[Ess] [ROAD] 247  x=1381.46  y=-30.07  z=-964.79  yaw=-80.7
[Ess] [ROAD] 248  x=1370.95  y=-30.03  z=-963.07  yaw=-80.7
[Ess] [ROAD] 249  x=1361.19  y=-29.99  z=-961.46  yaw=-80.7
[Ess] [ROAD] 250  x=1350.98  y=-29.93  z=-959.79  yaw=-80.7
[Ess] [ROAD] 251  x=1340.82  y=-29.86  z=-957.94  yaw=-76.2
[Ess] [ROAD] 252  x=1330.79  y=-29.78  z=-955.56  yaw=-74.8
[Ess] [ROAD] 253  x=1320.74  y=-29.63  z=-952.87  yaw=-74.3
[Ess] [ROAD] 254  x=1310.73  y=-29.43  z=-950.07  yaw=-74.0
[Ess] [ROAD] 255  x=1300.65  y=-29.23  z=-947.18  yaw=-73.8
[Ess] [ROAD] 256  x=1290.43  y=-29.05  z=-944.09  yaw=-69.1
[Ess] [ROAD] 257  x=1281.01  y=-28.96  z=-940.17  yaw=-61.0
[Ess] [ROAD] 258  x=1271.91  y=-28.98  z=-935.44  yaw=-63.4
[Ess] [ROAD] 259  x=1262.78  y=-29.11  z=-931.05  yaw=-66.7
[Ess] [ROAD] 260  x=1253.65  y=-29.29  z=-926.72  yaw=-60.0
[Ess] [ROAD] 261  x=1244.89  y=-29.51  z=-921.75  yaw=-57.9
[Ess] [ROAD] 262  x=1236.58  y=-29.74  z=-916.51  yaw=-53.3
[Ess] [ROAD] 263  x=1229.47  y=-29.94  z=-910.69  yaw=-38.7
[Ess] [ROAD] 264  x=1223.63  y=-30.12  z=-903.44  yaw=-27.0
[Ess] [ROAD] 265  x=1219.32  y=-30.27  z=-895.67  yaw=-24.2
[Ess] [ROAD] 266  x=1215.50  y=-30.44  z=-887.58  yaw=-24.2
[Ess] [ROAD] 267  x=1211.88  y=-30.55  z=-879.55  yaw=-22.6
[Ess] [ROAD] 268  x=1208.96  y=-30.54  z=-871.82  yaw=-15.2
[Ess] [ROAD] 269  x=1206.61  y=-30.26  z=-863.67  yaw=-12.5
[Ess] [ROAD] 270  x=1205.13  y=-29.99  z=-855.27  yaw=0.7
[Ess] [ROAD] 271  x=1205.08  y=-29.69  z=-847.03  yaw=5.9
[Ess] [ROAD] 272  x=1206.00  y=-29.34  z=-839.11  yaw=14.5
[Ess] [ROAD] 273  x=1207.81  y=-28.99  z=-831.43  yaw=17.0
[Ess] [ROAD] 274  x=1210.19  y=-28.57  z=-823.35  yaw=18.6
[Ess] [ROAD] 275  x=1212.99  y=-28.11  z=-815.26  yaw=21.4
[Ess] [ROAD] 276  x=1216.32  y=-27.61  z=-807.39  yaw=30.5
[Ess] [ROAD] 277  x=1220.63  y=-27.09  z=-800.23  yaw=37.6
[Ess] [ROAD] 278  x=1225.53  y=-26.56  z=-793.63  yaw=40.7
[Ess] [ROAD] 279  x=1230.76  y=-26.03  z=-787.43  yaw=42.0
[Ess] [ROAD] 280  x=1236.10  y=-25.50  z=-781.40  yaw=42.0
[Ess] [ROAD] 281  x=1241.26  y=-24.97  z=-775.34  yaw=34.1
[Ess] [ROAD] 282  x=1245.39  y=-24.46  z=-768.86  yaw=24.7
[Ess] [ROAD] 283  x=1248.79  y=-23.96  z=-762.03  yaw=23.9
[Ess] [ROAD] 284  x=1251.83  y=-23.49  z=-755.19  yaw=20.3
[Ess] [ROAD] 285  x=1254.37  y=-23.04  z=-748.13  yaw=16.1
[Ess] [ROAD] 286  x=1256.29  y=-22.57  z=-741.16  yaw=10.1
[Ess] [ROAD] 287  x=1257.56  y=-22.11  z=-734.11  yaw=5.2
[Ess] [ROAD] 288  x=1258.32  y=-21.63  z=-727.05  yaw=4.1
[Ess] [ROAD] 289  x=1258.93  y=-21.11  z=-719.44  yaw=4.1
[Ess] [ROAD] 290  x=1259.52  y=-20.56  z=-711.33  yaw=4.1
[Ess] [ROAD] 291  x=1260.09  y=-20.04  z=-703.47  yaw=4.1
[Ess] [ROAD] 292  x=1260.61  y=-19.51  z=-695.50  yaw=2.0
[Ess] [ROAD] 293  x=1260.89  y=-19.00  z=-687.65  yaw=0.6
[Ess] [ROAD] 294  x=1261.02  y=-18.53  z=-679.36  yaw=0.5
[Ess] [ROAD] 295  x=1261.11  y=-18.06  z=-670.65  yaw=0.6
[Ess] [ROAD] 296  x=1261.29  y=-17.61  z=-661.98  yaw=4.5
[Ess] [ROAD] 297  x=1262.28  y=-17.27  z=-653.64  yaw=14.1
[Ess] [ROAD] 298  x=1264.34  y=-17.12  z=-645.63  yaw=23.3
[Ess] [ROAD] 299  x=1267.45  y=-17.13  z=-638.20  yaw=30.3
[Ess] [ROAD] 300  x=1271.44  y=-17.13  z=-631.30  yaw=35.0
[Ess] [ROAD] 301  x=1276.08  y=-17.13  z=-624.44  yaw=35.8
[Ess] [ROAD] 302  x=1280.95  y=-17.14  z=-617.61  yaw=36.0
[Ess] [ROAD] 303  x=1285.73  y=-17.18  z=-610.99  yaw=36.0
[Ess] [ROAD] 304  x=1290.31  y=-17.27  z=-604.73  yaw=38.1
[Ess] [ROAD] 305  x=1295.44  y=-17.46  z=-598.63  yaw=45.3
[Ess] [ROAD] 306  x=1301.06  y=-17.73  z=-593.00  yaw=50.4
