[Ess] [TERRAIN] 1  x=2545.82  y=-29.28  z=-911.76
[Ess] [TERRAIN] 90  x=3152.83  y=138.82  z=-2199.91
[Ess] [TERRAIN] 91  x=3159.65  y=140.24  z=-2214.39
[Ess] [TERRAIN] 92  x=3166.47  y=138.95  z=-2228.86
[Ess] [TERRAIN] 93  x=3173.29  y=136.17  z=-2243.34
[Ess] [TERRAIN] 94  x=3180.11  y=132.50  z=-2257.81
[Ess] [TERRAIN] 95  x=3186.93  y=128.74  z=-2272.28
[Ess] [TERRAIN] 96  x=3193.75  y=119.91  z=-2286.76
[Ess] [TERRAIN] 97  x=3200.57  y=109.67  z=-2301.23
[Ess] [TERRAIN] 98  x=3207.39  y=98.78  z=-2315.70
[Ess] [TERRAIN] 99  x=3214.21  y=91.60  z=-2330.18
[Ess] [TERRAIN] 100  x=3221.03  y=86.12  z=-2344.65
[Ess] [TERRAIN] 101  x=3227.85  y=85.56  z=-2359.12
[Ess] [TERRAIN] 102  x=3234.67  y=90.43  z=-2373.60
[Ess] [TERRAIN] 103  x=3241.49  y=97.61  z=-2388.07
[Ess] [TERRAIN] 104  x=3248.31  y=107.90  z=-2402.55
[Ess] [TERRAIN] 105  x=3255.13  y=120.55  z=-2417.02
[Ess] [TERRAIN] 106  x=3261.95  y=134.13  z=-2431.49
[Ess] [TERRAIN] 107  x=3268.77  y=146.52  z=-2445.97
[Ess] [TERRAIN] 108  x=3275.59  y=153.25  z=-2460.44
[Ess] [TERRAIN] 109  x=3282.41  y=155.99  z=-2474.91
[Ess] [TERRAIN] 110  x=3289.23  y=155.15  z=-2489.39
[Ess] [TERRAIN] 111  x=3296.05  y=158.12  z=-2503.86
[Ess] [TERRAIN] 112  x=3302.87  y=162.22  z=-2518.33
[Ess] [TERRAIN] 113  x=3309.69  y=165.52  z=-2532.81
[Ess] [TERRAIN] 114  x=3316.51  y=168.93  z=-2547.28
[Ess] [TERRAIN] 115  x=3323.33  y=170.38  z=-2561.76
[Ess] [TERRAIN] 116  x=3330.15  y=169.57  z=-2576.23
[Ess] [TERRAIN] 117  x=3336.97  y=173.59  z=-2590.70
[Ess] [TERRAIN] 118  x=3343.79  y=186.60  z=-2605.18
[Ess] [TERRAIN] 119  x=3350.61  y=200.23  z=-2619.65
[Ess] [TERRAIN] 120  x=3357.43  y=210.03  z=-2634.12
[Ess] [TERRAIN] 121  x=3364.25  y=216.28  z=-2648.60
[Ess] [TERRAIN] 122  x=3371.07  y=215.64  z=-2663.07
[Ess] [TERRAIN] 123  x=3377.90  y=205.26  z=-2677.54
[Ess] [TERRAIN] 124  x=3384.72  y=188.57  z=-2692.02
[Ess] [TERRAIN] 125  x=3391.54  y=170.67  z=-2706.49
[Ess] [TERRAIN] 126  x=3398.36  y=159.08  z=-2720.97
[Ess] [TERRAIN] 127  x=3405.18  y=155.88  z=-2735.44
[Ess] [TERRAIN] 128  x=3412.00  y=156.56  z=-2749.91
[Ess] [TERRAIN] 129  x=3418.82  y=160.78  z=-2764.39
[Ess] [TERRAIN] 130  x=3425.64  y=160.52  z=-2778.86
[Ess] [TERRAIN] 131  x=3432.46  y=160.74  z=-2793.33
[Ess] [TERRAIN] 132  x=3439.28  y=167.18  z=-2807.81
[Ess] [TERRAIN] 133  x=3446.10  y=178.78  z=-2822.28
[Ess] [TERRAIN] 134  x=3452.92  y=193.93  z=-2836.75
[Ess] [TERRAIN] 135  x=3459.74  y=204.85  z=-2851.23
[Ess] [TERRAIN] 136  x=3466.56  y=211.82  z=-2865.70
[Ess] [TERRAIN] 137  x=3473.38  y=215.42  z=-2880.18
[Ess] [TERRAIN] 138  x=3480.20  y=218.91  z=-2894.65
[Ess] [TERRAIN] 139  x=3487.02  y=217.93  z=-2909.12
[Ess] [TERRAIN] 140  x=3493.84  y=210.40  z=-2923.60
[Ess] [TERRAIN] 141  x=3500.66  y=204.33  z=-2938.07
[Ess] [TERRAIN] 142  x=3507.48  y=204.27  z=-2952.54
[Ess] [TERRAIN] 143  x=3514.30  y=203.90  z=-2967.02
[Ess] [TERRAIN] 144  x=3521.12  y=198.06  z=-2981.49
[Ess] [TERRAIN] 145  x=3527.94  y=188.15  z=-2995.96
[Ess] [TERRAIN] 146  x=3534.76  y=181.69  z=-3010.44
[Ess] [TERRAIN] 147  x=3541.58  y=174.21  z=-3024.91
[Ess] [TERRAIN] 148  x=3548.40  y=169.98  z=-3039.39
[Ess] [TERRAIN] 149  x=3555.22  y=170.81  z=-3053.86
[Ess] [TERRAIN] 150  x=3562.04  y=171.12  z=-3068.33
[Ess] [TERRAIN] 151  x=3568.86  y=169.96  z=-3082.81
[Ess] [TERRAIN] 152  x=3575.68  y=168.94  z=-3097.28
[Ess] [TERRAIN] 153  x=3582.50  y=174.36  z=-3111.75
[Ess] [TERRAIN] 154  x=3589.32  y=184.43  z=-3126.23
[Ess] [TERRAIN] 155  x=3596.14  y=192.27  z=-3140.70
[Ess] [TERRAIN] 156  x=3602.96  y=201.44  z=-3155.17
[Ess] [TERRAIN] 157  x=3609.78  y=212.55  z=-3169.65
[Ess] [TERRAIN] 158  x=3616.60  y=224.94  z=-3184.12
[Ess] [TERRAIN] 159  x=3623.42  y=235.49  z=-3198.59
[Ess] [TERRAIN] 160  x=3630.24  y=240.85  z=-3213.07
[Ess] [TERRAIN] 161  x=3637.06  y=239.17  z=-3227.54
[Ess] [TERRAIN] 162  x=3643.88  y=233.03  z=-3242.02
[Ess] [TERRAIN] 163  x=3650.70  y=227.23  z=-3256.49
[Ess] [TERRAIN] 164  x=3657.52  y=228.61  z=-3270.96
[Ess] [TERRAIN] 165  x=3664.34  y=235.85  z=-3285.44
[Ess] [TERRAIN] 166  x=3671.16  y=243.34  z=-3299.91
[Ess] [TERRAIN] 167  x=3677.98  y=248.65  z=-3314.38
[Ess] [TERRAIN] 168  x=3684.80  y=252.51  z=-3328.86
[Ess] [TERRAIN] 169  x=3691.62  y=255.83  z=-3343.33
[Ess] [TERRAIN] 170  x=3698.45  y=258.81  z=-3357.80
[Ess] [TERRAIN] 171  x=3705.27  y=257.52  z=-3372.28
[Ess] [TERRAIN] 172  x=3712.09  y=255.88  z=-3386.75
[Ess] [TERRAIN] 173  x=3718.91  y=257.99  z=-3401.23
[Ess] [TERRAIN] 174  x=3725.73  y=261.37  z=-3415.70
[Ess] [TERRAIN] 175  x=3732.55  y=263.86  z=-3430.17
[Ess] [TERRAIN] 176  x=3739.37  y=268.25  z=-3444.65
[Ess] [TERRAIN] 177  x=3746.19  y=276.02  z=-3459.12
[Ess] [TERRAIN] 178  x=3753.01  y=284.01  z=-3473.59
[Ess] [TERRAIN] 179  x=3759.83  y=287.10  z=-3488.07
[Ess] [TERRAIN] 180  x=3766.65  y=288.38  z=-3502.54
[Ess] [TERRAIN] 181  x=3773.47  y=295.49  z=-3517.01
[Ess] [TERRAIN] 182  x=3780.29  y=306.91  z=-3531.49
[Ess] [TERRAIN] 183  x=3787.11  y=313.86  z=-3545.96
[Ess] [TERRAIN] 184  x=3793.93  y=315.40  z=-3560.44
[Ess] [TERRAIN] 185  x=3800.75  y=313.77  z=-3574.91
[Ess] [TERRAIN] 186  x=3807.57  y=313.93  z=-3589.38
[Ess] [TERRAIN] 187  x=3814.39  y=319.20  z=-3603.86
[Ess] [TERRAIN] 188  x=3821.21  y=331.62  z=-3618.33
[Ess] [TERRAIN] 189  x=3828.03  y=342.89  z=-3632.80
[Ess] [TERRAIN] 190  x=3834.85  y=346.25  z=-3647.28
[Ess] [TERRAIN] 191  x=3841.67  y=349.70  z=-3661.75
[Ess] [TERRAIN] 192  x=3848.49  y=357.70  z=-3676.22
[Ess] [TERRAIN] 193  x=3855.31  y=365.27  z=-3690.70
[Ess] [TERRAIN] 194  x=3862.13  y=364.97  z=-3705.17
[Ess] [TERRAIN] 195  x=3868.95  y=361.14  z=-3719.65
[Ess] [TERRAIN] 196  x=3875.77  y=359.05  z=-3734.12
[Ess] [TERRAIN] 197  x=3882.59  y=356.93  z=-3748.59
[Ess] [TERRAIN] 198  x=3889.41  y=351.85  z=-3763.07
[Ess] [TERRAIN] 199  x=3896.23  y=353.22  z=-3777.54
[Ess] [TERRAIN] 200  x=3903.05  y=354.42  z=-3792.01
[Ess] [TERRAIN] 201  x=3909.87  y=342.21  z=-3806.49
[Ess] [TERRAIN] 202  x=3916.69  y=325.36  z=-3820.96
[Ess] [TERRAIN] 203  x=3923.51  y=309.01  z=-3835.43
[Ess] [TERRAIN] 204  x=3930.33  y=301.03  z=-3849.91
[Ess] [TERRAIN] 205  x=3937.15  y=292.88  z=-3864.38
[Ess] [TERRAIN] 206  x=3943.97  y=282.61  z=-3878.86
[Ess] [TERRAIN] 207  x=3950.79  y=277.52  z=-3893.33
[Ess] [TERRAIN] 208  x=3957.61  y=266.34  z=-3907.80
[Ess] [TERRAIN] 209  x=3964.43  y=258.30  z=-3922.28
[Ess] [TERRAIN] 210  x=3971.25  y=254.58  z=-3936.75
[Ess] [TERRAIN] 211  x=3978.07  y=244.06  z=-3951.22
[Ess] [TERRAIN] 212  x=3984.89  y=228.99  z=-3965.70
[Ess] [TERRAIN] 213  x=3991.71  y=211.27  z=-3980.17
[Ess] [TERRAIN] 214  x=3998.53  y=188.85  z=-3994.64
[Ess] [TERRAIN] 215  x=4002.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 216  x=3986.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 217  x=3970.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 218  x=3954.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 219  x=3938.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 220  x=3922.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 221  x=3906.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 222  x=3890.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 223  x=3874.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 224  x=3858.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 225  x=3842.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 226  x=3826.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 227  x=3810.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 228  x=3794.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 229  x=3778.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 230  x=3762.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 231  x=3746.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 232  x=3730.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 233  x=3714.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 234  x=3698.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 235  x=3682.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 236  x=3666.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 237  x=3650.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 238  x=3634.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 239  x=3618.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 240  x=3602.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 241  x=3586.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 242  x=3570.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 243  x=3554.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 244  x=3538.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 245  x=3522.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 246  x=3506.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 247  x=3490.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 248  x=3474.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 249  x=3458.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 250  x=3442.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 251  x=3426.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 252  x=3410.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 253  x=3394.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 254  x=3378.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 255  x=3362.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 256  x=3346.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 257  x=3330.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 258  x=3314.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 259  x=3298.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 260  x=3282.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 261  x=3266.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 262  x=3250.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 263  x=3234.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 264  x=3218.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 265  x=3202.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 266  x=3186.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 267  x=3170.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 268  x=3154.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 269  x=3138.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 270  x=3122.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 271  x=3106.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 272  x=3090.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 273  x=3074.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 274  x=3058.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 275  x=3042.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 276  x=3026.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 277  x=3010.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 278  x=2994.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 279  x=2978.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 280  x=2962.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 281  x=2946.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 282  x=2930.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 283  x=2914.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 284  x=2898.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 285  x=2882.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 286  x=2866.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 287  x=2850.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 288  x=2834.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 289  x=2818.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 290  x=2802.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 291  x=2786.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 292  x=2770.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 293  x=2754.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 294  x=2738.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 295  x=2722.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 296  x=2706.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 297  x=2690.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 298  x=2674.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 299  x=2658.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 300  x=2642.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 301  x=2626.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 302  x=2610.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 303  x=2594.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 304  x=2578.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 305  x=2562.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 306  x=2546.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 307  x=2530.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 308  x=2514.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 309  x=2498.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 310  x=2482.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 311  x=2466.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 312  x=2450.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 313  x=2434.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 314  x=2418.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 315  x=2402.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 316  x=2386.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 317  x=2370.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 318  x=2354.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 319  x=2338.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 320  x=2322.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 321  x=2306.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 322  x=2290.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 323  x=2274.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 324  x=2258.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 325  x=2242.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 326  x=2226.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 327  x=2210.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 328  x=2194.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 329  x=2178.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 330  x=2162.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 331  x=2146.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 332  x=2130.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 333  x=2114.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 334  x=2098.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 335  x=2082.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 336  x=2066.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 337  x=2050.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 338  x=2034.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 339  x=2018.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 340  x=2002.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 341  x=1986.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 342  x=1970.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 343  x=1954.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 344  x=1938.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 345  x=1922.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 346  x=1906.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 347  x=1890.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 348  x=1874.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 349  x=1858.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 350  x=1842.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 351  x=1826.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 352  x=1810.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 353  x=1794.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 354  x=1778.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 355  x=1762.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 356  x=1746.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 357  x=1730.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 358  x=1714.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 359  x=1698.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 360  x=1682.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 361  x=1666.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 362  x=1650.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 363  x=1634.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 364  x=1618.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 365  x=1602.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 366  x=1586.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 367  x=1570.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 368  x=1554.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 369  x=1538.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 370  x=1522.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 371  x=1506.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 372  x=1490.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 373  x=1474.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 374  x=1458.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 375  x=1442.00  y=0.00  z=-4002.00
[Ess] [TERRAIN] 376  x=1426.00  y=0.00  z=-4002.00
