[Ess] Net: DISABLED (Ess.Net.OFF) -- no receiver hijack on NetEventCallback, no wire traffic
[Ess] Net: v0.2.1 ready (EV=5 SLOTS=5 HB=2)
[Ess] registered 'demo_convoy' (Demo: Wreck the Convoy)
[Ess] Contract: loaded (1 contract(s) registered)
[Ess] v0.2.1 ready
[Ess] [roadlog] STARTED -- logging every 0.25s (F11 again to stop)
[Ess] [ROAD] 1  x=2633.41  y=-3.86  z=-1019.60  yaw=131.9
[Ess] [ROAD] 28  x=2688.11  y=-13.75  z=-1054.02  yaw=135.1
[Ess] [ROAD] 29  x=2691.55  y=-13.75  z=-1057.57  yaw=138.2
[Ess] [ROAD] 30  x=2694.90  y=-13.75  z=-1061.02  yaw=133.9
[Ess] [ROAD] 31  x=2698.27  y=-13.75  z=-1064.31  yaw=133.2
[Ess] [ROAD] 32  x=2701.51  y=-13.75  z=-1067.39  yaw=133.2
[Ess] [ROAD] 33  x=2704.66  y=-13.75  z=-1070.36  yaw=133.2
[Ess] [ROAD] 34  x=2707.82  y=-13.75  z=-1073.34  yaw=133.2
[Ess] [ROAD] 35  x=2710.90  y=-13.75  z=-1076.23  yaw=133.2
[Ess] [ROAD] 36  x=2713.90  y=-13.75  z=-1079.04  yaw=133.2
[Ess] [ROAD] 37  x=2716.68  y=-13.75  z=-1081.66  yaw=133.2
[Ess] [ROAD] 38  x=2719.40  y=-13.77  z=-1084.21  yaw=133.2
[Ess] [ROAD] 39  x=2722.78  y=-13.82  z=-1087.39  yaw=133.2
[Ess] [ROAD] 40  x=2726.89  y=-13.82  z=-1091.26  yaw=133.2
[Ess] [ROAD] 41  x=2731.56  y=-13.82  z=-1095.64  yaw=133.2
[Ess] [ROAD] 42  x=2736.19  y=-14.16  z=-1099.99  yaw=133.2
[Ess] [ROAD] 43  x=2740.75  y=-14.91  z=-1104.29  yaw=133.2
[Ess] [ROAD] 44  x=2745.27  y=-15.62  z=-1108.55  yaw=133.2
[Ess] [ROAD] 45  x=2749.54  y=-16.14  z=-1112.56  yaw=133.2
[Ess] [ROAD] 46  x=2754.40  y=-16.69  z=-1117.13  yaw=133.2
[Ess] [ROAD] 47  x=2759.48  y=-17.25  z=-1121.88  yaw=131.6
[Ess] [ROAD] 48  x=2764.76  y=-17.78  z=-1126.37  yaw=127.2
[Ess] [ROAD] 49  x=2769.94  y=-18.27  z=-1130.48  yaw=129.5
[Ess] [ROAD] 50  x=2774.99  y=-18.73  z=-1134.67  yaw=130.8
[Ess] [ROAD] 51  x=2780.41  y=-19.23  z=-1139.31  yaw=131.0
[Ess] [ROAD] 52  x=2786.17  y=-19.74  z=-1144.31  yaw=131.2
[Ess] [ROAD] 53  x=2791.87  y=-20.24  z=-1149.33  yaw=132.7
[Ess] [ROAD] 54  x=2797.47  y=-20.73  z=-1154.48  yaw=133.3
[Ess] [ROAD] 55  x=2803.34  y=-21.23  z=-1159.57  yaw=126.9
[Ess] [ROAD] 56  x=2809.38  y=-21.71  z=-1164.26  yaw=126.9
[Ess] [ROAD] 57  x=2815.20  y=-22.18  z=-1168.99  yaw=132.1
[Ess] [ROAD] 58  x=2820.74  y=-22.65  z=-1173.86  yaw=131.7
[Ess] [ROAD] 59  x=2826.28  y=-23.12  z=-1178.61  yaw=128.8
[Ess] [ROAD] 60  x=2831.64  y=-23.58  z=-1182.99  yaw=128.6
[Ess] [ROAD] 61  x=2837.11  y=-24.07  z=-1187.38  yaw=128.3
[Ess] [ROAD] 62  x=2842.78  y=-24.49  z=-1191.59  yaw=122.2
[Ess] [ROAD] 63  x=2848.74  y=-24.66  z=-1195.06  yaw=109.9
[Ess] [ROAD] 64  x=2854.84  y=-24.64  z=-1196.99  yaw=92.6
[Ess] [ROAD] 65  x=2860.67  y=-24.64  z=-1197.58  yaw=89.0
[Ess] [ROAD] 66  x=2866.66  y=-24.64  z=-1197.48  yaw=82.6
[Ess] [ROAD] 67  x=2872.41  y=-24.64  z=-1196.64  yaw=72.7
[Ess] [ROAD] 68  x=2877.84  y=-24.64  z=-1195.04  yaw=66.9
[Ess] [ROAD] 69  x=2882.66  y=-24.64  z=-1192.96  yaw=59.6
[Ess] [ROAD] 70  x=2887.05  y=-24.65  z=-1190.22  yaw=48.0
[Ess] [ROAD] 71  x=2890.76  y=-24.81  z=-1186.85  yaw=39.1
[Ess] [ROAD] 72  x=2894.14  y=-25.17  z=-1182.99  yaw=38.3
[Ess] [ROAD] 73  x=2897.59  y=-25.64  z=-1178.62  yaw=35.5
[Ess] [ROAD] 74  x=2901.24  y=-26.32  z=-1173.55  yaw=33.4
[Ess] [ROAD] 75  x=2904.53  y=-26.98  z=-1168.35  yaw=28.6
[Ess] [ROAD] 76  x=2907.80  y=-27.71  z=-1162.52  yaw=27.6
[Ess] [ROAD] 77  x=2911.19  y=-28.62  z=-1155.61  yaw=22.2
[Ess] [ROAD] 78  x=2914.19  y=-29.51  z=-1148.11  yaw=16.5
[Ess] [ROAD] 79  x=2916.57  y=-30.28  z=-1140.57  yaw=15.5
[Ess] [ROAD] 80  x=2918.92  y=-30.97  z=-1132.02  yaw=12.7
[Ess] [ROAD] 81  x=2920.94  y=-31.58  z=-1123.33  yaw=11.7
[Ess] [ROAD] 82  x=2922.66  y=-32.13  z=-1114.35  yaw=7.6
[Ess] [ROAD] 83  x=2923.97  y=-32.62  z=-1105.24  yaw=6.7
[Ess] [ROAD] 84  x=2924.92  y=-33.05  z=-1096.20  yaw=3.6
[Ess] [ROAD] 85  x=2925.63  y=-33.43  z=-1086.99  yaw=5.9
[Ess] [ROAD] 86  x=2926.73  y=-33.78  z=-1077.47  yaw=8.8
[Ess] [ROAD] 87  x=2927.88  y=-34.09  z=-1068.04  yaw=5.0
[Ess] [ROAD] 88  x=2928.75  y=-34.33  z=-1058.79  yaw=4.7
[Ess] [ROAD] 89  x=2929.57  y=-34.52  z=-1049.22  yaw=4.7
[Ess] [ROAD] 90  x=2930.36  y=-34.65  z=-1039.69  yaw=4.7
[Ess] [ROAD] 91  x=2931.13  y=-34.74  z=-1030.48  yaw=4.7
[Ess] [ROAD] 92  x=2931.79  y=-34.80  z=-1021.13  yaw=0.9
[Ess] [ROAD] 93  x=2931.96  y=-34.85  z=-1011.87  yaw=-1.1
[Ess] [ROAD] 94  x=2931.84  y=-34.90  z=-1002.70  yaw=-2.4
[Ess] [ROAD] 95  x=2931.38  y=-34.93  z=-993.69  yaw=-4.8
[Ess] [ROAD] 96  x=2930.71  y=-34.92  z=-985.05  yaw=-5.7
[Ess] [ROAD] 97  x=2929.79  y=-34.94  z=-976.66  yaw=-9.2
[Ess] [ROAD] 98  x=2928.35  y=-35.04  z=-968.03  yaw=-12.2
[Ess] [ROAD] 99  x=2926.69  y=-35.16  z=-959.67  yaw=-9.8
[Ess] [ROAD] 100  x=2925.25  y=-35.28  z=-951.41  yaw=-9.9
[Ess] [ROAD] 101  x=2923.80  y=-35.38  z=-943.05  yaw=-8.9
[Ess] [ROAD] 102  x=2922.71  y=-35.44  z=-935.02  yaw=-3.9
[Ess] [ROAD] 103  x=2922.22  y=-35.49  z=-926.94  yaw=2.7
[Ess] [ROAD] 104  x=2922.64  y=-35.55  z=-919.01  yaw=10.7
[Ess] [ROAD] 105  x=2923.96  y=-35.61  z=-911.30  yaw=13.7
[Ess] [ROAD] 106  x=2925.90  y=-35.61  z=-903.09  yaw=16.4
[Ess] [ROAD] 107  x=2928.38  y=-35.49  z=-894.94  yaw=19.5
[Ess] [ROAD] 108  x=2930.63  y=-35.19  z=-887.32  yaw=10.5
[Ess] [ROAD] 109  x=2932.16  y=-34.65  z=-879.72  yaw=8.5
[Ess] [ROAD] 110  x=2933.41  y=-33.91  z=-871.91  yaw=8.8
[Ess] [ROAD] 111  x=2935.07  y=-33.06  z=-863.47  yaw=16.3
[Ess] [ROAD] 112  x=2937.28  y=-32.28  z=-854.40  yaw=11.9
[Ess] [ROAD] 113  x=2938.93  y=-31.78  z=-845.29  yaw=4.2
[Ess] [ROAD] 114  x=2939.68  y=-31.36  z=-836.12  yaw=0.1
[Ess] [ROAD] 115  x=2939.80  y=-30.99  z=-826.76  yaw=-1.2
[Ess] [ROAD] 116  x=2939.61  y=-30.64  z=-816.58  yaw=-1.9
[Ess] [ROAD] 117  x=2939.31  y=-30.34  z=-806.23  yaw=-1.8
[Ess] [ROAD] 118  x=2938.98  y=-30.09  z=-795.79  yaw=-1.8
[Ess] [ROAD] 119  x=2938.64  y=-29.86  z=-785.18  yaw=-1.8
[Ess] [ROAD] 120  x=2938.37  y=-29.66  z=-774.65  yaw=0.4
[Ess] [ROAD] 121  x=2938.58  y=-29.50  z=-764.22  yaw=4.7
[Ess] [ROAD] 122  x=2939.43  y=-29.33  z=-753.82  yaw=7.5
[Ess] [ROAD] 123  x=2940.74  y=-29.17  z=-743.51  yaw=8.1
[Ess] [ROAD] 124  x=2942.16  y=-29.00  z=-733.06  yaw=7.5
[Ess] [ROAD] 125  x=2943.53  y=-28.82  z=-722.72  yaw=7.5
[Ess] [ROAD] 126  x=2944.91  y=-28.69  z=-712.22  yaw=7.5
[Ess] [ROAD] 127  x=2946.26  y=-28.59  z=-701.92  yaw=7.5
[Ess] [ROAD] 128  x=2947.66  y=-28.52  z=-691.67  yaw=9.2
[Ess] [ROAD] 129  x=2949.33  y=-28.46  z=-681.43  yaw=10.4
[Ess] [ROAD] 130  x=2951.08  y=-28.42  z=-671.16  yaw=7.9
[Ess] [ROAD] 131  x=2952.57  y=-28.38  z=-660.66  yaw=7.1
[Ess] [ROAD] 132  x=2953.81  y=-28.37  z=-650.49  yaw=5.7
[Ess] [ROAD] 133  x=2954.87  y=-28.40  z=-640.12  yaw=5.2
[Ess] [ROAD] 134  x=2955.77  y=-28.42  z=-630.16  yaw=4.6
[Ess] [ROAD] 135  x=2956.61  y=-28.42  z=-619.85  yaw=4.6
[Ess] [ROAD] 136  x=2957.42  y=-28.42  z=-609.91  yaw=4.6
[Ess] [ROAD] 137  x=2958.24  y=-28.45  z=-599.64  yaw=4.6
[Ess] [ROAD] 138  x=2959.10  y=-28.49  z=-588.88  yaw=4.1
[Ess] [ROAD] 139  x=2959.70  y=-28.53  z=-578.42  yaw=1.5
[Ess] [ROAD] 140  x=2960.05  y=-28.58  z=-567.89  yaw=1.5
[Ess] [ROAD] 141  x=2960.34  y=-28.63  z=-557.49  yaw=1.5
[Ess] [ROAD] 142  x=2960.62  y=-28.69  z=-547.04  yaw=1.5
[Ess] [ROAD] 143  x=2960.89  y=-28.76  z=-536.92  yaw=1.5
[Ess] [ROAD] 144  x=2961.16  y=-28.83  z=-526.73  yaw=1.2
[Ess] [ROAD] 145  x=2961.22  y=-28.91  z=-516.69  yaw=-1.5
[Ess] [ROAD] 146  x=2960.91  y=-29.01  z=-506.77  yaw=-3.7
[Ess] [ROAD] 147  x=2960.26  y=-29.12  z=-496.44  yaw=-5.3
[Ess] [ROAD] 148  x=2959.25  y=-29.24  z=-486.40  yaw=-8.7
[Ess] [ROAD] 149  x=2957.56  y=-29.38  z=-476.09  yaw=-13.3
[Ess] [ROAD] 150  x=2955.26  y=-29.54  z=-465.96  yaw=-15.6
[Ess] [ROAD] 151  x=2952.41  y=-29.73  z=-455.88  yaw=-18.8
[Ess] [ROAD] 152  x=2948.99  y=-29.94  z=-446.08  yaw=-23.1
[Ess] [ROAD] 153  x=2945.03  y=-30.16  z=-436.96  yaw=-27.6
[Ess] [ROAD] 154  x=2940.22  y=-30.40  z=-427.84  yaw=-31.6
[Ess] [ROAD] 155  x=2934.86  y=-30.66  z=-418.87  yaw=-31.9
[Ess] [ROAD] 156  x=2929.57  y=-30.91  z=-410.30  yaw=-32.4
[Ess] [ROAD] 157  x=2924.21  y=-31.17  z=-401.89  yaw=-33.1
[Ess] [ROAD] 158  x=2918.49  y=-31.47  z=-393.24  yaw=-34.7
[Ess] [ROAD] 159  x=2912.53  y=-31.84  z=-384.64  yaw=-35.7
[Ess] [ROAD] 160  x=2906.42  y=-32.32  z=-376.22  yaw=-37.3
[Ess] [ROAD] 161  x=2899.99  y=-33.00  z=-367.79  yaw=-38.6
[Ess] [ROAD] 162  x=2893.60  y=-33.67  z=-359.71  yaw=-38.7
[Ess] [ROAD] 163  x=2887.32  y=-34.13  z=-351.86  yaw=-38.7
[Ess] [ROAD] 164  x=2881.06  y=-34.15  z=-344.04  yaw=-38.7
[Ess] [ROAD] 165  x=2874.58  y=-34.15  z=-335.95  yaw=-38.7
[Ess] [ROAD] 166  x=2868.02  y=-34.26  z=-327.75  yaw=-38.7
[Ess] [ROAD] 167  x=2861.53  y=-34.44  z=-319.65  yaw=-38.7
[Ess] [ROAD] 168  x=2854.93  y=-34.65  z=-311.40  yaw=-38.7
[Ess] [ROAD] 169  x=2848.34  y=-34.84  z=-303.16  yaw=-39.1
[Ess] [ROAD] 170  x=2841.59  y=-34.98  z=-295.22  yaw=-43.0
[Ess] [ROAD] 171  x=2834.47  y=-35.01  z=-287.43  yaw=-43.2
[Ess] [ROAD] 172  x=2827.38  y=-34.90  z=-279.84  yaw=-43.1
[Ess] [ROAD] 173  x=2820.12  y=-34.65  z=-272.30  yaw=-45.5
[Ess] [ROAD] 174  x=2812.71  y=-34.33  z=-264.94  yaw=-45.6
[Ess] [ROAD] 175  x=2805.24  y=-34.01  z=-257.62  yaw=-45.8
[Ess] [ROAD] 176  x=2797.48  y=-33.61  z=-250.36  yaw=-49.0
[Ess] [ROAD] 177  x=2789.97  y=-33.21  z=-243.74  yaw=-49.8
[Ess] [ROAD] 178  x=2781.94  y=-32.84  z=-237.01  yaw=-51.2
[Ess] [ROAD] 179  x=2774.13  y=-32.56  z=-230.68  yaw=-51.2
[Ess] [ROAD] 180  x=2766.13  y=-32.34  z=-224.23  yaw=-51.2
[Ess] [ROAD] 181  x=2758.06  y=-32.17  z=-217.72  yaw=-49.8
[Ess] [ROAD] 182  x=2750.20  y=-32.12  z=-210.86  yaw=-46.5
[Ess] [ROAD] 183  x=2742.99  y=-32.12  z=-204.13  yaw=-46.3
[Ess] [ROAD] 184  x=2735.57  y=-32.12  z=-197.09  yaw=-46.3
[Ess] [ROAD] 185  x=2728.28  y=-32.13  z=-190.11  yaw=-45.2
[Ess] [ROAD] 186  x=2721.36  y=-32.15  z=-182.91  yaw=-40.4
[Ess] [ROAD] 187  x=2715.05  y=-32.16  z=-175.57  yaw=-37.3
[Ess] [ROAD] 188  x=2708.97  y=-32.18  z=-167.43  yaw=-30.7
[Ess] [ROAD] 189  x=2703.97  y=-32.20  z=-159.20  yaw=-27.7
[Ess] [ROAD] 190  x=2699.78  y=-32.21  z=-150.87  yaw=-21.2
[Ess] [ROAD] 191  x=2696.28  y=-32.22  z=-142.00  yaw=-15.6
[Ess] [ROAD] 192  x=2693.69  y=-32.22  z=-132.75  yaw=-10.0
[Ess] [ROAD] 193  x=2692.09  y=-32.22  z=-123.51  yaw=-4.0
[Ess] [ROAD] 194  x=2691.65  y=-32.19  z=-114.47  yaw=3.9
[Ess] [ROAD] 195  x=2692.37  y=-32.09  z=-105.53  yaw=13.2
[Ess] [ROAD] 196  x=2694.35  y=-31.96  z=-96.89  yaw=21.7
[Ess] [ROAD] 197  x=2697.53  y=-31.84  z=-88.96  yaw=29.1
[Ess] [ROAD] 198  x=2701.69  y=-31.71  z=-81.58  yaw=35.2
[Ess] [ROAD] 199  x=2706.24  y=-31.57  z=-74.80  yaw=34.3
[Ess] [ROAD] 200  x=2710.49  y=-31.46  z=-67.86  yaw=26.2
[Ess] [ROAD] 201  x=2714.43  y=-31.47  z=-60.19  yaw=25.3
[Ess] [ROAD] 202  x=2718.18  y=-31.57  z=-52.38  yaw=24.9
[Ess] [ROAD] 203  x=2721.99  y=-31.73  z=-43.79  yaw=21.6
[Ess] [ROAD] 204  x=2725.49  y=-31.96  z=-35.15  yaw=21.3
[Ess] [ROAD] 205  x=2728.83  y=-32.14  z=-26.32  yaw=17.6
[Ess] [ROAD] 206  x=2731.71  y=-32.21  z=-17.03  yaw=11.9
[Ess] [ROAD] 207  x=2733.58  y=-32.22  z=-7.54  yaw=3.3
[Ess] [ROAD] 208  x=2734.24  y=-32.21  z=1.96  yaw=-1.5
[Ess] [ROAD] 209  x=2733.97  y=-32.19  z=11.26  yaw=-6.4
[Ess] [ROAD] 210  x=2732.89  y=-32.19  z=20.41  yaw=-10.3
[Ess] [ROAD] 211  x=2731.28  y=-32.20  z=29.40  yaw=-14.1
[Ess] [ROAD] 212  x=2728.97  y=-32.19  z=38.04  yaw=-22.5
[Ess] [ROAD] 213  x=2725.55  y=-32.15  z=46.07  yaw=-32.9
[Ess] [ROAD] 214  x=2720.81  y=-32.05  z=53.27  yaw=-44.5
[Ess] [ROAD] 215  x=2714.75  y=-31.83  z=59.84  yaw=-46.8
[Ess] [ROAD] 216  x=2708.25  y=-31.81  z=65.91  yaw=-51.0
[Ess] [ROAD] 217  x=2701.11  y=-31.81  z=71.70  yaw=-53.7
[Ess] [ROAD] 218  x=2694.15  y=-31.76  z=76.84  yaw=-56.9
[Ess] [ROAD] 219  x=2686.79  y=-31.68  z=81.56  yaw=-61.8
[Ess] [ROAD] 220  x=2679.10  y=-31.55  z=85.57  yaw=-67.0
[Ess] [ROAD] 221  x=2671.32  y=-31.47  z=88.87  yaw=-70.1
[Ess] [ROAD] 222  x=2663.47  y=-31.43  z=91.81  yaw=-70.4
[Ess] [ROAD] 223  x=2655.62  y=-31.38  z=94.65  yaw=-70.4
[Ess] [ROAD] 224  x=2647.74  y=-31.33  z=97.46  yaw=-70.3
[Ess] [ROAD] 225  x=2639.41  y=-31.21  z=100.44  yaw=-70.3
[Ess] [ROAD] 226  x=2631.06  y=-31.03  z=103.42  yaw=-70.3
[Ess] [ROAD] 227  x=2622.94  y=-30.75  z=106.36  yaw=-68.7
[Ess] [ROAD] 228  x=2615.00  y=-30.30  z=109.69  yaw=-63.3
[Ess] [ROAD] 229  x=2607.49  y=-29.64  z=113.63  yaw=-57.0
[Ess] [ROAD] 230  x=2600.31  y=-28.76  z=118.28  yaw=-51.3
[Ess] [ROAD] 231  x=2593.45  y=-27.79  z=123.77  yaw=-47.2
[Ess] [ROAD] 232  x=2587.01  y=-26.90  z=129.53  yaw=-47.0
[Ess] [ROAD] 233  x=2581.04  y=-26.23  z=135.05  yaw=-47.0
[Ess] [ROAD] 234  x=2575.06  y=-25.91  z=140.63  yaw=-45.8
[Ess] [ROAD] 235  x=2569.11  y=-25.98  z=146.53  yaw=-41.8
[Ess] [ROAD] 236  x=2563.48  y=-25.91  z=152.73  yaw=-40.2
[Ess] [ROAD] 237  x=2557.86  y=-24.96  z=159.66  yaw=-34.4
[Ess] [ROAD] 238  x=2553.00  y=-23.65  z=166.59  yaw=-32.3
[Ess] [ROAD] 239  x=2548.68  y=-22.17  z=173.84  yaw=-24.9
[Ess] [ROAD] 240  x=2545.07  y=-20.67  z=181.49  yaw=-19.0
[Ess] [ROAD] 241  x=2542.47  y=-19.29  z=189.48  yaw=-9.0
[Ess] [ROAD] 242  x=2541.03  y=-18.00  z=197.56  yaw=-4.2
[Ess] [ROAD] 243  x=2540.23  y=-16.73  z=205.62  yaw=-3.9
[Ess] [ROAD] 244  x=2539.67  y=-15.53  z=213.25  yaw=-2.3
[Ess] [ROAD] 245  x=2539.72  y=-14.35  z=221.15  yaw=10.2
[Ess] [ROAD] 246  x=2541.03  y=-13.36  z=228.59  yaw=24.6
[Ess] [ROAD] 247  x=2543.63  y=-12.66  z=234.88  yaw=42.5
[Ess] [ROAD] 248  x=2547.19  y=-12.27  z=240.16  yaw=47.2
[Ess] [ROAD] 249  x=2551.29  y=-12.17  z=245.02  yaw=42.9
[Ess] [ROAD] 250  x=2555.59  y=-12.21  z=249.82  yaw=42.1
[Ess] [ROAD] 251  x=2560.18  y=-12.30  z=254.90  yaw=42.1
[Ess] [ROAD] 252  x=2564.81  y=-12.36  z=260.03  yaw=42.1
[Ess] [ROAD] 253  x=2569.81  y=-12.34  z=265.58  yaw=42.1
[Ess] [ROAD] 254  x=2574.81  y=-12.34  z=271.11  yaw=42.1
[Ess] [ROAD] 255  x=2580.02  y=-12.35  z=276.88  yaw=42.4
[Ess] [ROAD] 256  x=2585.46  y=-12.35  z=282.48  yaw=48.8
[Ess] [ROAD] 257  x=2591.22  y=-12.32  z=287.47  yaw=55.3
[Ess] [ROAD] 258  x=2597.38  y=-12.19  z=291.84  yaw=59.4
[Ess] [ROAD] 259  x=2603.52  y=-12.05  z=295.36  yaw=64.9
[Ess] [ROAD] 260  x=2609.94  y=-11.90  z=298.38  yaw=69.4
[Ess] [ROAD] 261  x=2616.60  y=-11.81  z=301.07  yaw=67.3
[Ess] [ROAD] 262  x=2622.66  y=-11.85  z=304.05  yaw=53.1
[Ess] [ROAD] 263  x=2627.95  y=-12.11  z=307.92  yaw=46.0
[Ess] [ROAD] 264  x=2632.92  y=-12.55  z=312.38  yaw=45.8
[Ess] [ROAD] 265  x=2637.83  y=-13.30  z=317.20  yaw=41.6
[Ess] [ROAD] 266  x=2642.28  y=-14.11  z=322.22  yaw=36.4
[Ess] [ROAD] 267  x=2646.18  y=-14.91  z=327.62  yaw=29.7
[Ess] [ROAD] 268  x=2649.39  y=-15.59  z=333.21  yaw=25.6
[Ess] [ROAD] 269  x=2652.43  y=-16.28  z=339.30  yaw=24.2
[Ess] [ROAD] 270  x=2655.16  y=-16.99  z=345.52  yaw=21.0
[Ess] [ROAD] 271  x=2657.55  y=-17.69  z=351.83  yaw=17.2
[Ess] [ROAD] 272  x=2659.58  y=-18.33  z=358.15  yaw=16.2
[Ess] [ROAD] 273  x=2661.48  y=-18.91  z=364.50  yaw=16.2
[Ess] [ROAD] 274  x=2663.27  y=-19.39  z=370.63  yaw=16.2
[Ess] [ROAD] 275  x=2665.19  y=-19.76  z=376.67  yaw=21.9
[Ess] [ROAD] 276  x=2667.49  y=-19.88  z=382.55  yaw=23.3
[Ess] [ROAD] 277  x=2669.50  y=-19.86  z=388.06  yaw=15.0
[Ess] [ROAD] 278  x=2671.16  y=-19.86  z=393.86  yaw=13.2
[Ess] [ROAD] 279  x=2672.61  y=-19.87  z=399.69  yaw=13.1
[Ess] [ROAD] 280  x=2673.96  y=-19.88  z=405.47  yaw=12.1
[Ess] [ROAD] 281  x=2675.12  y=-19.91  z=410.99  yaw=10.3
[Ess] [ROAD] 282  x=2676.06  y=-20.00  z=416.57  yaw=7.1
[Ess] [ROAD] 283  x=2676.83  y=-20.28  z=422.34  yaw=6.2
[Ess] [ROAD] 284  x=2677.29  y=-20.69  z=427.78  yaw=1.4
[Ess] [ROAD] 285  x=2677.51  y=-21.20  z=433.63  yaw=0.7
[Ess] [ROAD] 286  x=2677.63  y=-21.80  z=439.67  yaw=0.8
[Ess] [ROAD] 287  x=2677.73  y=-22.52  z=446.21  yaw=0.8
[Ess] [ROAD] 288  x=2677.84  y=-23.44  z=453.49  yaw=0.9
[Ess] [ROAD] 289  x=2677.95  y=-24.52  z=461.10  yaw=0.9
[Ess] [ROAD] 290  x=2678.07  y=-25.76  z=468.92  yaw=0.9
[Ess] [ROAD] 291  x=2678.19  y=-27.40  z=477.36  yaw=0.8
[Ess] [ROAD] 292  x=2678.32  y=-29.68  z=486.12  yaw=0.9
[Ess] [ROAD] 293  x=2678.42  y=-31.78  z=494.69  yaw=-0.7
[Ess] [ROAD] 294  x=2678.06  y=-33.21  z=503.39  yaw=-6.0
[Ess] [ROAD] 295  x=2677.32  y=-33.73  z=511.52  yaw=-6.4
[Ess] [ROAD] 296  x=2676.35  y=-33.99  z=520.47  yaw=-6.4
[Ess] [ROAD] 297  x=2675.30  y=-34.08  z=530.00  yaw=-6.4
[Ess] [ROAD] 298  x=2674.16  y=-33.99  z=540.22  yaw=-6.3
[Ess] [ROAD] 299  x=2673.27  y=-33.96  z=549.77  yaw=-3.1
[Ess] [ROAD] 300  x=2672.69  y=-33.97  z=559.75  yaw=-0.9
[Ess] [ROAD] 301  x=2672.55  y=-33.93  z=569.28  yaw=1.1
[Ess] [ROAD] 302  x=2672.67  y=-33.89  z=579.11  yaw=1.2
[Ess] [ROAD] 303  x=2672.84  y=-33.79  z=588.55  yaw=1.2
[Ess] [ROAD] 304  x=2673.03  y=-33.80  z=598.37  yaw=1.1
[Ess] [ROAD] 305  x=2673.22  y=-33.80  z=607.91  yaw=1.1
[Ess] [ROAD] 306  x=2673.41  y=-33.81  z=617.37  yaw=1.1
[Ess] [ROAD] 307  x=2673.62  y=-33.79  z=627.13  yaw=1.1
[Ess] [ROAD] 308  x=2673.81  y=-33.78  z=637.00  yaw=1.0
[Ess] [ROAD] 309  x=2674.00  y=-33.84  z=647.33  yaw=1.1
[Ess] [ROAD] 310  x=2674.19  y=-33.84  z=657.66  yaw=1.1
[Ess] [ROAD] 311  x=2674.39  y=-33.84  z=668.21  yaw=1.1
[Ess] [ROAD] 312  x=2674.58  y=-33.83  z=678.55  yaw=1.1
[Ess] [ROAD] 313  x=2674.78  y=-33.83  z=689.03  yaw=1.1
